ID,PRECIO_MENSUAL,PRECIO_SEMESTRE,PERSONA_NATURAL
144,142820,358331,3398
145,530383,556530,9185
146,266222,1226101,3949
147,79706,124650,5377
148,374505,336797,822
149,806675,1432903,11538
150,54572,832331,2901
151,502090,778833,8428
152,468661,1396853,5945
153,82784,299632,16052
154,379876,951712,7661
155,778546,1290575,521
156,878185,554483,9499
157,953762,1020524,5972
158,523878,540549,9726
159,554070,1357315,7092
160,236311,59206,16416
161,691447,784998,7688
162,546376,54594,13065
163,532984,1183157,9545
164,472977,1119669,19160
165,209179,526776,2070
166,755228,1399846,5245
167,573000,210576,11032
168,403838,122344,19179
169,143394,689945,7019
170,237966,1098029,11640
171,847412,875665,12904
172,292411,663502,14271
173,266655,1323743,6947
174,960204,538873,3878
175,485962,352997,9784
176,758014,1246102,19306
177,38835,1262084,7463
178,509466,1049863,5634
179,534400,698440,2146
180,602692,1164518,2669
181,475636,1415870,10466
182,774792,475018,10747
183,644359,752588,3361
184,838531,154614,1489
185,816655,287385,14108
186,330978,157655,14813
187,852488,1242663,9406
188,455910,122526,16182
189,839994,843433,4703
190,388246,943864,5837
191,636963,1379292,3319
192,995838,20344,14574
193,320904,48595,12311
194,888164,58185,3446
195,204491,886337,795
196,703431,609761,12419
197,191312,73242,2094
198,960006,1136244,12453
199,521140,220209,14853
200,792939,1004445,5608
201,440042,479376,2621
202,365929,1494973,16600
203,797009,253053,14420
204,884819,697283,832
205,122843,1230939,4620
206,315171,708704,10522
207,373071,311420,13460
208,815233,1234086,11665
209,596930,1049992,2274
210,894898,1432676,18610
211,563549,777906,13755
212,30583,1311379,6505
213,533195,544436,11306
214,420253,375198,4479
215,314621,1489430,11322
216,810614,1431823,11777
217,443321,376017,13683
218,576602,14791,4146
219,774462,1008144,7873
220,722240,427994,1802
221,744259,558549,6644
222,873152,1214579,16479
223,660833,1337831,9361
224,311989,1069032,3800
225,708421,451965,15373
226,559136,124437,6609
227,38324,1319684,1907
228,645187,1243614,17999
229,511967,1407763,5670
230,620709,307942,5466
231,918166,211504,12221
232,408316,845927,13503
233,101710,817231,6567
234,913969,606953,222
235,226274,81062,362
236,672324,384790,11187
237,409143,369894,19328
238,139206,1204472,1976
239,488455,1430696,19098
240,739908,184149,215
241,220417,500861,14950
242,69477,899273,15242
243,922775,448427,15945
244,47538,682072,19346
245,355469,417514,16428
246,266347,701556,427
247,272100,63441,13636
248,440995,532998,7928
249,816032,1310078,11829
250,193898,682828,15481
251,642194,1172810,15137
252,976811,1119210,5053
253,433168,80088,19629
254,840810,241858,16634
255,768243,1041181,13939
256,486556,1189598,2429
257,599992,691994,11577
258,180037,707586,9113
259,863959,846069,2489
260,574002,199565,9856
261,219156,150418,766
262,972384,934694,10845
263,583775,1374576,1388
264,110634,957291,9117
265,922977,1168055,10850
266,945062,292612,9272
267,228271,922109,2927
268,474004,135223,11040
269,472813,411743,6380
270,332215,638290,12817
271,263201,1492710,13003
272,914287,874795,6596
273,728183,1387393,8984
274,910971,1354958,1972
275,643117,465122,18699
276,524594,451848,9056
277,383694,1065737,10039
278,897281,997975,2496
279,605134,1406147,17228
280,22461,555925,1125
281,251588,1381387,688
282,747133,1093305,15520
283,428519,299362,7901
284,735093,68402,15483
285,432268,381248,205
286,885846,1303024,8621
287,275022,1451558,9853
288,814638,1058771,16806
289,910543,42842,271
290,531364,1336634,19387
291,666890,710686,1923
292,88892,1434789,13908
293,710207,1495687,17504
294,281165,1028019,15486
295,670939,622208,16810
296,954905,205293,17932
297,34918,683009,18069
298,894803,900297,8072
299,600417,520841,8400
300,809315,464074,785
301,765861,936996,10682
302,63930,166981,16815
303,339146,1395716,9859
304,916723,352145,15854
305,584551,192961,3729
306,261660,405235,826
307,4122,203158,3499
308,691465,851190,15450
309,552617,545358,14093
310,870073,970802,9319
311,906630,504696,11469
312,304647,974159,9954
313,350643,1117334,7330
314,477064,368312,18443
315,236625,109518,16085
316,409316,1279989,6833
317,157022,961917,14074
318,328253,1224383,2534
319,997107,152074,9560
320,110124,309122,15543
321,450139,1103948,13248
322,943431,1373154,6657
323,582090,191824,17022
324,720595,1173293,1126
325,874118,486212,4846
326,43147,1025216,12216
327,977763,1242780,12835
328,135122,448161,3283
329,414388,64902,4425
330,953649,108530,11946
331,171985,1414579,7481
332,17444,1421370,18626
333,495137,756385,3074
334,943713,222268,3006
335,273697,962851,2397
336,632678,1358640,8258
337,469529,276126,16947
338,947384,830857,16109
339,768748,400167,19950
340,770774,149717,16533
341,256802,1037274,4817
342,489978,709091,6463
343,899842,237012,2645
344,156205,144141,13463
345,18747,628375,9864
346,634749,695583,1222
347,300348,799796,18202
348,934025,1046608,17796
349,911176,353748,7092
350,576388,782935,148
351,426543,66295,6038
352,857495,465759,16058
353,794253,828049,18236
354,302444,1091776,18623
355,308229,767328,7994
356,126267,1493994,7492
357,924955,811218,11564
358,729823,552775,4418
359,517729,819175,2083
360,89145,103391,158
361,125914,180433,17241
362,868647,1208149,5846
363,857045,1055339,16326
364,460813,1244684,8755
365,816482,1486376,3936
366,173253,810794,18979
367,903967,1120395,11174
368,839544,412250,8614
369,293438,540040,11978
370,33105,918353,9545
371,461625,1355000,7072
372,101814,839104,10418
373,276284,209419,10641
374,306125,737774,2426
375,909639,1007636,15253
376,596002,956939,156
377,329416,1069436,11422
378,412538,114615,12882
379,959168,1299442,10555
380,541016,1077017,7004
381,459524,748911,2011
382,591634,483655,4744
383,384740,1317379,16384
384,971932,392584,8588
385,654117,940032,14236
386,808639,1144818,4932
387,573393,1063824,10890
388,160249,1030009,8939
389,709240,1025037,16313
390,730857,834448,6608
391,435265,1357568,14840
392,838656,692379,17160
393,892665,1310328,19519
394,208051,1310068,18951
395,182774,1477299,6541
396,565203,876371,9198
397,843001,362685,5490
398,847904,218310,15174
399,110785,177257,15660
400,270768,881390,18933
401,651241,424972,11791
402,765321,259560,15983
403,544556,268192,15394
404,235061,906319,10902
405,392526,1463978,14084
406,173110,967399,18767
407,954846,107130,18603
408,408879,1293135,1620
409,19915,474984,13893
410,240963,338111,5788
411,362699,484663,16431
412,775727,1246692,16405
413,141634,903592,5733
414,768291,684527,6410
415,667454,577217,19662
416,344136,1259416,10015
417,71121,1291604,2835
418,148607,1124113,14807
419,151315,282849,2763
420,212437,701057,18002
421,420517,307132,15624
422,215376,1177387,1385
423,465958,1201081,12910
424,399419,1470265,12392
425,891985,1198714,479
426,963869,313096,18227
427,139005,289747,9201
428,232418,190499,14155
429,422432,74015,12723
430,640905,50650,18800
431,454504,1359799,3717
432,652212,1003273,13304
433,830040,847514,14589
434,644012,1103628,1530
435,268955,1365279,15984
436,304057,406777,8248
437,483453,1072072,10775
438,598683,1347424,6444
439,834316,560060,13096
440,613200,153136,3255
441,372161,1004624,9177
442,968134,391521,1879
443,124426,1143001,4680
444,852461,579172,9517
445,254890,238876,17762
446,299553,109016,3303
447,58064,608462,1207
448,832267,1255417,14151
449,399522,1442243,17604
450,694695,368234,19866
451,830313,831490,10622
452,208056,618007,18616
453,670503,172946,8709
454,915337,1025300,17079
455,213614,841793,8040
456,350532,559485,3027
457,489802,796957,8465
458,562644,355859,12082
459,35841,652838,19677
460,489387,395810,7000
461,613301,503985,11476
462,63166,312281,14781
463,849750,322716,2078
464,99623,916748,18581
465,249270,720903,16133
466,931251,1468700,4404
467,848715,725677,8526
468,383064,1294098,2888
469,508734,839150,12983
470,603059,807134,9014
471,334725,1376433,1897
472,999003,1012595,10155
473,603606,1245225,9455
474,973688,470058,19892
475,486363,771186,19120
476,549919,1384441,5939
477,582748,1170609,13961
478,270192,161534,19044
479,370620,351453,2464
480,738090,1198480,5768
481,163123,941242,17801
482,526691,1383521,7531
483,521132,566416,14556
484,246173,1231429,15713
485,581841,601216,457
486,212043,901327,3773
487,646924,119780,10154
488,209756,1207296,16832
489,328484,754269,910
490,188430,614480,19301
491,307797,887483,12699
492,927933,6345,8928
493,736871,1318437,14187
494,433839,1175614,19666
495,739275,80920,6782
496,592245,862442,15115
497,486116,1337120,8871
498,989501,1104232,9712
499,338324,1301038,582
500,377019,611106,446
501,783493,933501,11492
502,988696,1252291,18757
503,249108,1044365,15568
504,570814,1332425,12891
505,270333,1154584,11756
506,995114,1274813,9495
507,319998,926637,16181
508,647227,910845,8591
509,107309,836686,12300
510,435263,114304,15454
511,276673,998132,24
512,656993,1203356,10498
513,784746,117582,17363
514,703289,1164514,10136
515,529514,784698,8126
516,139914,1330588,6308
517,235449,598595,17710
518,857302,867587,4585
519,827397,464998,10861
520,162193,226790,6826
521,732667,355937,2040
522,153661,1431989,7481
523,310715,1034635,17402
524,827078,1010032,14901
525,470792,428894,17208
526,525632,1138143,15789
527,848882,861231,19424
528,276018,232221,15643
529,429174,271141,17850
530,405102,301726,4635
531,952641,941101,19595
532,144938,915228,7376
533,838511,463119,3573
534,606528,964144,12078
535,169562,1075069,17762
536,568487,539463,1772
537,222160,658710,8501
538,460983,300582,2904
539,761753,756696,6200
540,27547,858807,10441
541,320208,513210,11022
542,747747,959312,407
543,30601,650942,14009
544,350272,888847,10040
545,145491,1436744,16750
546,388245,967069,10464
547,2901,1416348,1635
548,987533,1254978,5018
549,883726,419660,4412
550,901374,1362389,8479
551,528155,812730,17002
552,543724,196436,16955
553,402275,94102,10747
554,312804,103971,15640
555,351725,151231,10229
556,602950,792671,17355
557,404517,1216194,1186
558,981086,594459,3753
559,996998,1082248,17148
560,982251,1112740,5163
561,563498,1273807,6603
562,551941,687097,10592
563,943170,501443,5733
564,470265,1066740,9386
565,458975,282120,4255
566,268388,92007,17167
567,380491,359774,1319
568,898247,616236,13956
569,151394,319311,17014
570,568006,574821,1942
571,670990,1356212,14480
572,115477,559220,11569
573,44577,63367,8965
574,107190,194827,13360
575,16806,1047899,18382
576,764481,32397,19977
577,810627,29331,11359
578,374594,1142426,11203
579,187132,308123,19454
580,170717,221459,4427
581,927874,1295207,798
582,595517,587108,19611
583,50132,1354281,17708
584,172670,471271,7515
585,364745,353684,11435
586,467767,1390971,8246
587,891058,190578,7256
588,442379,451348,16622
589,567254,358567,10999
590,458022,480737,13360
591,299958,874854,14991
592,685053,532620,5296
593,576419,487502,963
594,238985,436430,3599
595,565384,1358894,5241
596,221752,691823,10963
597,709937,24820,5684
598,937794,334256,17385
599,220429,1375457,18338
600,813967,1416799,5948
601,90345,1447915,2521
602,816485,921341,14175
603,860205,489864,2173
604,384555,643822,10456
605,804892,481153,6096
606,198807,367205,1829
607,118785,1487681,4509
608,275865,834421,1315
609,456061,1127921,7382
610,957239,1312349,11285
611,844224,802722,11973
612,478359,1317776,14516
613,580810,181885,4675
614,330587,213730,8011
615,12098,566589,3253
616,753576,49091,6915
617,629127,1019772,9636
618,928167,1479047,14816
619,926092,560094,10726
620,559292,1465022,10589
621,406258,1174413,13898
622,247368,178834,216
623,959479,459676,4868
624,97883,758580,14601
625,782468,97465,5343
626,654673,463249,4321
627,707194,1017593,16597
628,759117,847439,748
629,687941,288474,14307
630,906942,556827,2928
631,735027,189795,16504
632,195047,1353011,10317
633,276859,548892,16962
634,168621,1351448,19982
635,251333,323915,15139
636,116746,1129496,17536
637,68790,103571,10985
638,89525,1007621,7826
639,585646,319251,984
640,876095,104767,2035
641,792235,45956,7221
642,199885,403293,8689
643,473538,1498308,2927
644,329582,640970,8244
645,432727,823164,19238
646,438209,185672,2125
647,459781,543139,6194
648,665467,625462,7769
649,192101,341039,3617
650,405000,963371,11124
651,672511,794419,13234
652,70207,883832,8755
653,278455,1086392,10891
654,963636,1145611,17184
655,534754,1051395,7934
656,534552,625456,17341
657,96511,1403809,15303
658,998589,896006,6666
659,784226,218983,10724
660,10649,893243,6842
661,736732,352618,16785
662,561122,1044163,3818
663,201499,669321,11368
664,530041,739851,17742
665,327491,1222802,11291
666,600714,206185,991
667,361545,469669,16900
668,300785,315809,5711
669,18107,214853,15491
670,417859,763577,5987
671,817959,1310962,16304
672,193406,746189,17672
673,72316,201510,8205
674,124868,277606,9806
675,178893,1137356,17332
676,529749,659292,1030
677,84932,564452,13023
678,65095,1102240,6198
679,717164,702479,12546
680,195697,103762,17353
681,89238,673386,6979
682,351600,1321870,17208
683,131161,854274,19035
684,909392,1430865,13951
685,616098,1283466,18538
686,666082,1362370,3689
687,138232,776865,2764
688,856039,316244,16125
689,406324,363567,19717
690,766159,464399,12842
691,102144,1257576,18586
692,325657,285264,3338
693,150622,676772,1929
694,570291,532097,11173
695,915614,850247,2424
696,999945,1460026,13677
697,532095,796838,14127
698,374177,301923,13432
699,82745,41154,11612
700,549932,1288874,19139
701,385754,1160855,16977
702,136322,855315,3730
703,975401,319450,8951
704,441401,587649,6790
705,718475,398376,15228
706,867423,362451,17514
707,818104,846023,4789
708,282183,1323328,17778
709,587063,826249,17784
710,399420,1362328,1212
711,811046,1001431,18163
712,38395,1077484,8521
713,541160,826132,15924
714,457554,205651,7014
715,763702,784138,7621
716,227234,796141,12498
717,487908,1071943,18769
718,306571,764210,1997
719,357139,591165,16301
720,436434,629844,4053
721,573342,1161027,1813
722,866101,574917,12391
723,638583,1304207,17767
724,875305,547472,6958
725,863411,1327387,583
726,406659,513229,8905
727,857113,286208,1367
728,932330,81642,4808
729,449814,313833,14006
730,141183,1335516,3303
731,90698,1487618,16390
732,973714,464771,12599
733,948523,1140628,19049
734,837979,1047027,4634
735,849359,1251115,1393
736,332779,608492,17218
737,537014,93487,1625
738,511668,1343053,16490
739,76153,897137,4002
740,539490,883749,9921
741,678610,21997,19807
742,817186,260649,13737
743,307473,1314371,7149
744,873265,1353868,11125
745,210776,1199525,8040
746,442528,166812,3032
747,71541,553081,10158
748,465312,1426294,13166
749,450871,671194,16120
750,851377,1014636,12674
751,981329,1410346,447
752,32120,1074885,8019
753,652886,1471769,15816
754,954014,461327,3315
755,91282,562913,19197
756,309759,640942,18210
757,350526,1409149,6615
758,842774,867258,19520
759,306878,724161,9865
760,774414,1020840,3859
761,520422,999316,12062
762,530239,889981,6031
763,399592,620512,14993
764,449493,663270,9092
765,310984,581815,12306
766,70360,365998,5232
767,894394,1155950,1823
768,649893,1173200,13432
769,709424,342597,9940
770,914394,628355,10560
771,795402,1250550,12234
772,659499,1384776,17423
773,428658,755015,14001
774,968227,1025210,738
775,179133,206934,11725
776,420476,1023655,4392
777,71934,834345,9757
778,394950,634199,18228
779,875400,1128219,3551
780,356140,595308,770
781,511019,348436,11422
782,308399,288057,16616
783,567435,647104,14829
784,621709,598531,5514
785,12878,499172,7785
786,893173,1114519,6945
787,696017,1140343,5403
788,525222,502118,8092
789,528386,793496,19614
790,750153,650425,12735
791,936301,199553,12102
792,751228,911170,8896
793,358167,410876,9138
794,631650,537651,10238
795,194182,762448,6218
796,137112,373202,6463
797,865488,925479,15718
798,906423,1414538,18813
799,354567,417944,14579
800,879937,496996,3539
801,924646,54079,1236
802,105727,781130,7000
803,658227,1285279,11408
804,389185,1005113,2656
805,695308,1433394,8358
806,200269,1040802,10098
807,895826,386091,17830
808,754097,868377,19287
809,149319,834108,19321
810,703260,365419,15131
811,907790,416014,18706
812,69009,30054,12580
813,24759,75785,4191
814,250099,491882,2721
815,290293,47840,7625
816,649986,454524,6757
817,665800,997608,5267
818,465950,216587,14689
819,361248,1427747,15607
820,60993,241947,4436
821,836286,1247704,9960
822,860162,1103952,13727
823,848007,354017,7400
824,781129,327634,839
825,782043,872813,13289
826,903293,209933,2160
827,714444,1273280,9277
828,532471,9021,12446
829,624617,338063,4314
830,279481,106434,399
831,136950,1265845,3487
832,339776,783524,1594
833,93138,652495,3562
834,607788,718161,19246
835,571189,867283,12475
836,162043,754155,13746
837,363432,735254,10388
838,963032,412049,5309
839,609991,130452,4947
840,610524,1353060,12584
841,929399,907035,17709
842,512991,292307,1581
843,49745,315287,6471
844,671607,986068,61
845,718655,178656,17207
846,427545,290205,19468
847,121984,1329275,4382
848,763069,470338,2907
849,564986,739730,13721
850,68451,426180,17347
851,926700,1037731,8493
852,916381,1345889,6543
853,728137,141753,1217
854,911163,1395837,15596
855,881549,901238,19055
856,864381,1094029,10808
857,457372,586075,3632
858,984135,264087,13404
859,707268,595597,3270
860,569394,792534,15894
861,512970,116766,12797
862,61450,279954,9404
863,783195,1122795,12813
864,487428,1006344,7605
865,776361,336267,8725
866,945414,137000,13402
867,401884,687947,18384
868,254297,318177,12386
869,651279,864853,14544
870,408645,847624,11779
871,244178,1279224,3029
872,578410,576824,17588
873,192456,1266921,14442
874,380397,1465590,15231
875,99198,453364,10397
876,260351,907483,17333
877,938776,706436,5549
878,901111,1163475,488
879,487362,138964,14378
880,465392,246272,3886
881,136739,752029,6195
882,377162,1086399,4477
883,984595,673096,12000
884,797375,64501,1398
885,817983,1260591,7482
886,722382,1210875,2344
887,580893,1371034,12863
888,180241,1433441,9035
889,353534,1136932,5803
890,443552,125605,5924
891,944034,830524,19862
892,46832,139494,15847
893,649915,869783,4320
894,961699,12026,12982
895,586412,676768,4683
896,893488,190749,6176
897,288150,1482059,5656
898,422628,598771,13937
899,426378,978574,7343
900,55671,1408565,6205
901,157496,296604,9671
902,520138,1171568,2925
903,543666,546495,2471
904,260454,507570,10222
905,898555,673384,2207
906,571373,1016105,17072
907,43831,547569,14415
908,174947,170058,15043
909,470868,1213014,12834
910,554749,912345,11506
911,656016,1281574,16198
912,920767,292482,2989
913,195905,1214983,12789
914,683703,819468,18833
915,471320,804928,8251
916,273677,618702,3727
917,476166,476531,410
918,156684,1108536,9560
919,448008,350976,17996
920,570022,962978,12468
921,521630,619013,7037
922,545609,676208,9958
923,583705,1404141,10769
924,157055,865237,386
925,986817,760262,10568
926,491595,449501,13329
927,313952,201730,12963
928,812438,242134,11391
929,472339,1195133,16614
930,19074,1045020,5660
931,706960,713047,4328
932,483812,1281605,3775
933,202875,342655,4852
934,665036,416360,10607
935,641659,787438,253
936,345862,1185333,17243
937,121396,1196122,7788
938,523392,990193,10049
939,137208,280141,7533
940,966386,699179,17561
941,400315,655501,3884
942,974522,758100,19664
943,391823,584375,6142
944,459053,870781,18159
945,865179,1303412,10679
946,179759,225946,1438
947,317793,128423,11881
948,985514,699691,17311
949,105509,1371268,561
950,175809,496123,5158
951,801853,1208365,16538
952,934139,1063189,16222
953,337847,951279,6615
954,195784,595234,828
955,223567,131326,5027
956,831248,919372,267
957,404484,1214492,15174
958,154491,189688,19952
959,303968,784455,3806
960,705321,1113820,17711
961,94315,790935,15624
962,490565,129480,19879
963,665421,594467,6662
964,321927,595740,9118
965,682834,403525,19193
966,551756,1325067,4612
967,614325,1336157,6841
968,821663,581306,11065
969,33037,254870,10970
970,961865,791937,2911
971,295732,733886,2171
972,35724,955196,3711
973,410433,599753,16997
974,311167,398939,1381
975,420406,1160253,14924
976,398166,902737,17279
977,304514,647764,13918
978,111951,835125,6174
979,634905,851012,2286
980,453681,1331091,8401
981,464000,1167491,7499
982,915091,327193,16301
983,863853,1490154,9735
984,42996,843858,19906
985,45765,676937,6532
986,875964,852669,8032
987,885537,832001,9135
988,925684,485319,10509
989,65589,1231960,3020
990,540521,1450783,19129
991,372736,1052286,12175
992,734200,1119282,6444
993,582714,1161500,6181
994,402680,1020463,1698
995,113096,1490288,4056
996,541182,49607,827
997,723343,422339,12100
998,842654,833897,17011
999,552258,70218,10835
1000,999982,1449607,5027
1001,833307,1261644,19275
1002,639860,479677,266
1003,899534,8513,1499
1004,142198,504478,16482
1005,95592,893209,6951
1006,128882,381764,17956
1007,518936,338106,10548
1008,998468,353069,11328
1009,160624,82390,1700
1010,852577,176170,12432
1011,736264,1303858,15764
1012,145196,96084,2339
1013,503713,534180,17881
1014,863104,935319,9305
1015,988009,441901,2455
1016,53406,1273919,16990
1017,883609,210568,16209
1018,849080,1112466,13484
1019,505512,88531,15271
1020,639979,1170825,18596
1021,283314,1470073,161
1022,901057,261773,6735
1023,856047,1393295,14325
1024,337096,428560,2156
1025,877510,340645,13477
1026,195103,366309,8296
1027,381811,508279,11428
1028,163323,381257,5140
1029,591609,177793,14715
1030,563884,377669,1829
1031,466018,947795,1127
1032,691762,1187386,913
1033,73480,931161,13305
1034,849805,191987,5382
1035,964981,809633,6227
1036,517242,717112,3022
1037,33683,829799,4137
1038,116227,899236,15403
1039,116423,540851,806
1040,701007,1281812,11159
1041,853202,1077133,17646
1042,333882,1128377,29
1043,716485,1016422,18108
1044,369502,497221,9723
1045,140021,1479177,3152
1046,196757,608997,12831
1047,998489,1474110,19395
1048,816323,708527,2735
1049,730999,110256,7106
1050,584835,1131426,9709
1051,21188,1087997,14657
1052,339054,215490,10242
1053,979653,624669,19430
1054,70000,1489136,3948
1055,94731,319188,9813
1056,301812,698301,3899
1057,741879,59521,263
1058,597081,689139,19061
1059,77295,212924,1149
1060,563350,815567,7792
1061,678944,297426,8543
1062,798626,942015,19517
1063,529051,1326409,7035
1064,204067,331275,1172
1065,356258,485625,9768
1066,743365,1416114,12458
1067,914794,698059,9526
1068,620205,412158,15225
1069,397568,543725,2658
1070,33355,99570,9530
1071,68978,1297646,3995
1072,590508,1161916,15787
1073,997998,942728,13413
1074,34139,929179,2391
1075,779807,701984,18220
1076,617760,404441,18136
1077,623851,1015743,4050
1078,466113,1171248,8016
1079,965520,182062,19224
1080,249400,155442,5858
1081,864544,1232092,15688
1082,405308,929463,6622
1083,404368,981713,546
1084,891093,263540,16258
1085,873383,103942,13465
1086,165854,1198091,9910
1087,860465,13451,16118
1088,591637,407234,7980
1089,738175,1151964,2672
1090,210448,1438,19256
1091,175695,958872,18208
1092,623333,252794,11763
1093,264852,710305,18243
1094,845194,429422,10179
1095,986958,64650,2003
1096,703138,897683,11479
1097,520513,1165961,13341
1098,98468,1266117,6997
1099,779657,1120561,7432
1100,575169,681771,14629
1101,97434,638573,14021
1102,579471,1434118,11723
1103,800656,377194,12174
1104,532938,741836,9812
1105,291611,1489328,3759
1106,636174,828091,17729
1107,429054,425997,8069
1108,987824,1211465,5683
1109,851088,100650,14340
1110,545491,1244120,3929
1111,681329,776988,3324
1112,188193,1098699,9364
1113,764700,215405,274
1114,692371,110957,8197
1115,867944,1168263,6226
1116,839949,679857,12044
1117,561441,559177,17522
1118,224511,837755,13915
1119,342422,891069,1809
1120,328401,587060,5766
1121,131309,1051497,1452
1122,412809,320901,17144
1123,331196,430697,7346
1124,670209,1026506,3094
1125,228155,544161,7637
1126,880887,878514,8342
1127,884305,413194,10637
1128,493971,155762,16812
1129,609176,1452442,13541
1130,972669,796421,4071
1131,59516,124367,10904
1132,479598,1099563,861
1133,827019,670125,1066
1134,26413,484571,13469
1135,374386,349029,15707
1136,542809,775780,17971
1137,185116,1245777,6115
1138,503197,451610,17300
1139,282147,1494951,1975
1140,645124,912,17014
1141,457129,323415,3215
1142,839902,938186,3553
1143,781733,1137174,3073
1144,963389,913524,5109
1145,68646,1138930,17301
1146,61887,405285,7368
1147,169224,640658,15236
1148,206536,1434180,1368
1149,421839,707843,55
1150,672560,616202,18533
1151,479854,1488261,13263
1152,741284,613265,6855
1153,824701,474619,8848
1154,566008,1042490,11425
1155,496357,364408,12956
1156,963059,1207065,8647
1157,774733,1069801,13577
1158,78694,479645,18866
1159,525455,480811,16592
1160,15627,292888,16519
1161,257170,103319,5420
1162,545862,450423,2347
1163,390007,313113,5458
1164,322181,724932,15078
1165,834106,547575,3180
1166,341982,1236666,17449
1167,917613,1070679,19047
1168,902284,1449762,14089
1169,912446,513380,7333
1170,840794,956578,4234
1171,592323,1172080,8956
1172,310900,88693,16891
1173,3849,443597,6994
1174,67071,1082522,8221
1175,628916,1118792,16254
1176,999172,977161,10510
1177,164284,909824,11221
1178,151095,628974,14300
1179,177759,260648,14987
1180,978253,340025,9304
1181,476861,294925,15139
1182,299633,1326354,4878
1183,276341,30833,11983
1184,629729,334304,13850
1185,732596,21447,18055
1186,764248,115200,7149
1187,580567,331128,9125
1188,604832,888231,9773
1189,642593,323167,16054
1190,521491,481991,10285
1191,345668,549071,9409
1192,46567,498013,11479
1193,364369,1378315,6623
1194,462501,175985,8808
1195,869164,988588,19917
1196,780026,1452367,7053
1197,879035,1410550,1373
1198,98657,1370883,9974
1199,426119,1178727,3521
1200,236260,1371102,5647
1201,473250,1386928,18368
1202,665577,514527,13380
1203,375143,207429,10452
1204,201296,94304,6585
1205,408788,1472814,10471
1206,264068,1307943,3212
1207,329597,692051,18028
1208,97301,327067,8510
1209,855326,1066804,2162
1210,658341,1012554,5624
1211,701319,920325,3432
1212,479179,28996,6187
1213,835153,486046,5849
