ID,COSTO_NOCHE,COSTO_MENSUAL,COSTO_SEMESTRE,MENSAJE,CAPACIDAD,VIVIENDA
320148,18234,734530,5889556,null,2,17103
320149,11711,547707,2740811,null,2,7939
320150,50223,8927,3907714,null,1,645
320151,79826,431829,6962625,null,3,15640
320152,37316,360517,5709228,null,4,11269
320153,38651,699623,3734995,null,5,1852
320154,27946,573127,5744468,null,5,12650
320155,74329,200930,3512126,null,4,16753
320156,59741,846991,5804928,null,3,7019
320157,12803,542544,5477183,null,5,9889
320158,19261,725250,1300269,null,5,1429
320159,28023,753112,5833478,null,1,3936
320160,62291,271231,1170871,null,3,2988
320161,65416,614959,5022286,null,5,11525
320162,72746,941639,7275737,null,3,19363
320163,8888,254099,2987671,null,5,803
320164,9252,6604,6161071,null,3,12489
320165,10298,584079,6165142,null,3,1199
320166,77713,479420,745786,null,1,5826
320167,41553,222485,1124932,null,5,14675
320168,44555,357412,7051365,null,3,9891
320169,74060,717929,2311670,null,2,7547
320170,38393,37925,392946,null,3,12986
320171,24855,708610,7982521,null,1,10145
320172,62473,449214,359926,null,5,3578
320173,31735,361011,5518255,null,4,4825
320174,50663,789212,3239044,null,3,4236
320175,39070,134751,2618345,null,5,12118
320176,5601,933043,3577255,null,3,18034
320177,42852,249003,5550744,null,5,18022
320178,6186,194873,5030382,null,5,13228
320179,17959,344940,5240788,null,1,17176
320180,26686,439833,5150865,null,1,8597
320181,50336,467892,1227813,null,3,8566
320182,17520,891462,4025563,null,4,9021
320183,57856,908705,3593750,null,5,1751
320184,13784,807427,696762,null,4,4428
320185,11529,248642,1836460,null,5,7265
320186,53622,780386,3083868,null,4,7105
320187,5306,33557,6537689,null,4,3259
320188,212,27628,1855961,null,1,1052
320189,46103,268925,4730876,null,3,184
320190,64034,867622,431184,null,2,7006
320191,76066,347086,4819813,null,4,16794
320192,37942,531024,2333119,null,1,886
320193,14587,123310,1764686,null,2,1893
320194,29058,3584,3514625,null,5,3670
320195,65804,632896,995420,null,1,5099
320196,75765,10199,5392941,null,4,13107
320197,21297,461990,5858005,null,3,17293
320198,32504,282299,4952549,null,3,616
320199,33524,92030,6740300,null,1,1908
320200,18164,799588,2559211,null,4,457
320201,1721,767604,5651007,null,4,1566
320202,5831,248110,5820618,null,2,4080
320203,1541,324466,4624081,null,4,17961
320204,40000,609818,5829145,null,3,2066
320205,28117,269950,3513056,null,5,13886
320206,79951,116067,209065,null,3,12874
320207,59295,5626,6866822,null,1,6758
320208,38930,453602,1286091,null,4,14183
320209,79097,57405,4485874,null,4,1849
320210,27757,523587,5053359,null,3,14327
320211,3998,425364,4144089,null,4,14052
320212,43395,684521,622713,null,2,8831
320213,8519,756638,3640557,null,3,14462
320214,67873,45196,3999292,null,4,14110
320215,49818,320309,3794131,null,4,8768
320216,36004,26468,2930574,null,4,2254
320217,65153,484581,2461384,null,1,19209
320218,72614,731137,1681835,null,3,11514
320219,42865,73984,5884222,null,1,12250
320220,57368,673697,6973733,null,2,3438
320221,20985,935479,2080320,null,5,10021
320222,18933,598756,3724856,null,4,3560
320223,61333,752868,2886749,null,2,2418
320224,42182,93538,432222,null,4,16136
320225,28701,790377,5097644,null,4,14492
320226,15536,13983,7129522,null,5,435
320227,58007,152330,1009167,null,3,8130
320228,72280,455185,6048639,null,5,9101
320229,19139,109242,4609567,null,1,2835
320230,55608,522882,5047722,null,4,7085
320231,69593,463024,2573085,null,1,7694
320232,60342,664252,984617,null,4,1691
320233,53164,88846,4163343,null,1,16767
320234,37780,454773,580682,null,1,16182
320235,38360,658712,2343341,null,4,75
320236,42152,929364,6570744,null,5,14815
320237,13052,718401,2359047,null,5,14797
320238,62581,35041,2693272,null,4,17149
320239,70406,571811,4124551,null,4,7260
320240,23042,667449,753577,null,2,2058
320241,74047,10720,1767835,null,4,8641
320242,12616,237317,4812606,null,5,10157
320243,47291,96247,1909889,null,3,14675
320244,42794,830965,992686,null,1,13523
320245,45865,628828,1639665,null,3,3624
320246,49053,438547,2478568,null,1,19432
320247,59646,972396,6699831,null,4,2995
320248,65213,424462,4313413,null,4,3327
320249,5916,895291,1496354,null,4,9721
320250,26962,975046,4768895,null,4,2724
320251,59116,571394,650435,null,1,18817
320252,36534,667450,598114,null,5,4237
320253,12783,40511,3264366,null,4,9604
320254,15500,178519,3217885,null,4,17212
320255,54769,844594,5293746,null,1,14225
320256,58273,802595,5007661,null,1,16913
320257,79802,959585,7035710,null,5,128
320258,23762,96757,2288808,null,4,9963
320259,48618,302452,3393077,null,4,10329
320260,64230,328582,6363291,null,2,18086
320261,21896,356765,1322238,null,3,13799
320262,16947,157685,3849786,null,2,15228
320263,44293,446012,353709,null,2,13298
320264,13163,154806,4948896,null,5,17603
320265,45280,259718,3506544,null,3,5467
320266,4085,258426,3289776,null,2,9553
320267,7084,169301,2048705,null,1,4988
320268,56344,149001,7967898,null,1,11351
320269,40688,885005,3510067,null,5,6276
320270,57731,56809,2354335,null,3,1846
320271,70546,831935,2753742,null,4,11713
320272,31385,874310,2381833,null,5,958
320273,41301,840950,660253,null,5,17267
320274,3712,702364,913110,null,4,2330
320275,9546,336725,7234336,null,2,13658
320276,43998,755648,3970864,null,5,15621
320277,34705,756068,7627154,null,2,15809
320278,75871,661745,5130377,null,5,4906
320279,9392,97684,2987411,null,1,15383
320280,21409,51442,3524906,null,3,11645
320281,24000,446385,3610480,null,2,2133
320282,73497,300764,1039551,null,4,15376
320283,77742,543501,6710692,null,1,9168
320284,13948,61326,5313273,null,2,4693
320285,18351,841877,1829216,null,4,15101
320286,76590,586668,7426701,null,3,5311
320287,67165,556769,3633338,null,4,12545
320288,59264,967482,4778935,null,3,19494
320289,24871,396025,6204512,null,3,16315
320290,44957,872427,3934418,null,2,2182
320291,43915,529610,2207329,null,2,1413
320292,76280,675727,3504681,null,1,4226
320293,53318,534987,4667238,null,4,9867
320294,29917,436469,625848,null,4,15106
320295,61449,578611,1990709,null,3,19653
320296,22137,459071,3880665,null,4,13342
320297,59864,253027,7664170,null,3,1258
320298,38140,69287,1274394,null,5,13469
320299,10769,692532,3173779,null,4,4855
320300,74068,721245,4362734,null,3,19194
320301,64621,201530,265007,null,5,9664
320302,48173,736849,2758310,null,4,5382
320303,63209,228781,6151831,null,5,14282
320304,15589,444128,3698509,null,4,4801
320305,77042,826803,4696040,null,1,6059
320306,27256,619753,7137792,null,1,16841
320307,66406,771650,7290913,null,1,14476
320308,15255,798869,4432065,null,5,14412
320309,19599,596931,7479299,null,5,13463
320310,12191,933437,6894015,null,1,12290
320311,14860,520034,1941672,null,2,16404
320312,8783,42098,7584429,null,3,4025
320313,37627,409564,3584142,null,3,3363
320314,19619,485521,3327643,null,5,8843
320315,8043,907293,3985519,null,3,12635
320316,62093,840052,2719405,null,3,6815
320317,55431,798221,4449146,null,4,13991
320318,11116,825780,1518389,null,3,17428
320319,5611,722711,7265325,null,4,5710
320320,44395,817390,6976014,null,4,8519
320321,20481,354262,814821,null,3,6843
320322,8490,323787,5386816,null,5,13421
320323,56231,557883,6334009,null,5,1037
320324,43426,472535,5052962,null,4,5364
320325,13099,281489,6008601,null,3,9277
320326,30214,231650,3983490,null,2,9254
320327,31391,905423,3146971,null,2,11903
320328,68154,497802,3924524,null,4,1126
320329,17140,179955,7435266,null,5,3398
320330,47691,339599,461786,null,1,6327
320331,26594,180484,371317,null,1,6864
320332,79222,371138,997907,null,3,13997
320333,56656,779247,5775173,null,4,2157
320334,74642,120960,4835521,null,3,1950
320335,453,75265,430409,null,2,15323
320336,27804,4595,5151990,null,5,10995
320337,79333,446896,4216697,null,5,681
320338,37323,397604,7176172,null,2,6503
320339,20026,805608,4643736,null,5,2691
320340,71337,210550,1459306,null,5,13685
320341,63776,290035,5421190,null,4,2808
320342,17214,979052,5856390,null,5,1441
320343,18957,251531,4884166,null,3,19362
320344,11554,383357,2505379,null,1,11889
320345,23310,758731,7838485,null,5,1848
320346,63087,180942,3991345,null,2,16552
320347,58537,427087,4447550,null,3,18225
320348,3440,211344,3326131,null,4,19373
320349,48682,295905,1333664,null,1,12605
320350,6602,420608,5890466,null,1,19323
320351,67390,909695,4594018,null,3,5638
320352,54721,955758,2730084,null,4,3053
320353,76904,544902,6431697,null,4,11346
320354,16485,71903,880194,null,4,10684
320355,27507,249889,4032987,null,3,8300
320356,25040,717230,466374,null,2,18886
320357,43581,386328,6943203,null,3,13701
320358,58682,114922,4790912,null,3,2835
320359,43389,249801,2095300,null,2,2189
320360,16028,317482,6699510,null,5,12171
320361,27812,279364,1427796,null,2,18636
320362,3143,991123,1392566,null,4,7010
320363,38651,832496,6383076,null,5,4400
320364,47053,825716,5623195,null,2,5462
320365,79884,398307,7691015,null,1,6909
320366,78598,408727,7606841,null,2,2554
320367,19984,267086,4212123,null,2,12546
320368,74301,825439,3973165,null,3,9135
320369,40581,110158,1600953,null,5,15596
320370,39537,821571,977473,null,1,15072
320371,73978,307867,6315094,null,5,15229
320372,43377,230009,5840723,null,2,10332
320373,22923,244981,6716819,null,5,13712
320374,25230,199379,65363,null,4,11492
320375,51556,18468,5626850,null,4,7732
320376,9756,827725,2983693,null,4,9824
320377,44252,30267,17164,null,3,8923
320378,69274,720647,7775953,null,4,16999
320379,9424,353919,7642078,null,5,11955
320380,8154,892157,291782,null,1,7370
320381,34388,966351,7772339,null,5,12054
320382,34390,642984,710024,null,5,4332
320383,18868,925430,5588259,null,3,11143
320384,69507,636820,2367410,null,3,5389
320385,6870,539474,2954808,null,3,4770
320386,56745,760392,2132559,null,1,1352
320387,26409,14435,7198250,null,5,4476
320388,30594,80219,2342566,null,3,3726
320389,78072,733851,5366979,null,4,12122
320390,76928,471851,7097666,null,2,7812
320391,75426,225801,3556360,null,5,9901
320392,47602,655935,6573381,null,4,7342
320393,22042,102296,5453616,null,5,1096
320394,35541,1994,5540879,null,4,13154
320395,61273,621208,3020265,null,4,5511
320396,69049,504911,4967639,null,2,5597
320397,25955,511144,2054625,null,3,3983
320398,50704,738222,192843,null,1,12090
320399,52605,507138,2748638,null,4,15777
320400,7308,86189,7328942,null,2,3894
320401,74590,855588,2902606,null,1,11446
320402,70083,416373,1863886,null,1,15205
320403,29192,790550,714830,null,4,2408
320404,25149,673624,856298,null,1,6773
320405,43261,2811,5573428,null,3,13574
320406,68680,660995,5455872,null,1,18372
320407,44383,216247,779127,null,2,19054
320408,3151,296835,2607351,null,5,4108
320409,2324,789662,6007518,null,3,14543
320410,39319,365587,11072,null,2,13125
320411,40279,797515,5330282,null,2,4604
320412,57593,892775,1454364,null,3,15578
320413,72040,700529,2275129,null,5,100
320414,51531,907242,3814717,null,2,5794
320415,30630,356921,5108303,null,4,12694
320416,1709,988697,4703273,null,2,260
320417,25877,369091,7439470,null,1,7499
320418,10770,360631,3336879,null,5,18995
320419,55911,99142,1917682,null,3,8553
320420,27978,483123,6443252,null,4,2468
320421,69641,402304,1240299,null,4,7500
320422,5739,764309,1194296,null,2,12225
320423,20877,37466,4229190,null,2,12997
320424,56543,601034,4378111,null,5,15112
320425,74989,115487,7045854,null,5,2677
320426,1437,875871,1793697,null,4,19602
320427,59352,971272,6502622,null,5,5792
320428,36281,838779,1070940,null,4,14031
320429,37128,235648,710829,null,2,15667
320430,7326,119931,4878473,null,1,7096
320431,46360,204950,5493535,null,5,998
320432,57662,420629,270845,null,2,263
320433,65532,983247,2752523,null,5,18738
320434,11902,313092,3160066,null,2,4783
320435,33629,657338,3515095,null,3,3518
320436,67511,197779,5668532,null,1,10816
320437,26749,792965,5538039,null,4,15446
320438,71374,842875,6677665,null,1,6726
320439,21973,168991,611842,null,4,10687
320440,23594,588947,4415149,null,5,7600
320441,35377,336877,1613800,null,2,19089
320442,26555,110083,905776,null,4,15800
320443,72613,652595,5588338,null,2,9871
320444,22092,808430,5041433,null,3,19689
320445,7271,530444,3237763,null,1,3803
320446,36322,654434,3378628,null,3,3155
320447,53833,605225,4710518,null,1,6918
320448,51645,143597,883410,null,3,18640
320449,46742,750994,4277942,null,3,19422
320450,15639,964094,972664,null,3,1364
320451,67728,451705,3450946,null,4,9682
320452,68053,100940,46921,null,2,10050
320453,14965,12529,1455495,null,4,4576
320454,5145,334354,3886685,null,5,3865
320455,17627,913489,7398469,null,1,4269
320456,68306,765710,3220804,null,3,2080
320457,51818,1919,4321025,null,1,18164
320458,10094,705889,6912610,null,4,4461
320459,79291,952543,121910,null,1,5428
320460,6585,913798,4376691,null,3,2333
320461,50487,498116,4187372,null,3,15541
320462,270,729855,636077,null,3,8900
320463,59524,630755,2956870,null,1,18041
320464,13673,437973,7190176,null,4,15299
320465,17064,538517,4105784,null,3,9737
320466,2938,684422,6288338,null,3,11842
320467,61039,986517,3043915,null,5,943
320468,14424,678023,3216126,null,5,14917
320469,33196,324117,1064104,null,1,17813
320470,29851,313158,245427,null,4,532
320471,55284,234094,5588897,null,1,7626
320472,69306,630407,419980,null,5,13812
320473,16671,901160,5937800,null,2,13231
320474,57861,683704,1550153,null,3,6140
320475,65467,435869,6507782,null,4,6159
320476,56064,280467,1704176,null,1,18161
320477,14623,276474,4392540,null,5,1052
320478,4960,426239,5174268,null,3,2808
320479,50572,80355,4297272,null,1,8808
320480,10832,679051,3866536,null,1,19213
320481,44254,277366,1446419,null,1,9480
320482,4765,610884,2880436,null,3,19066
320483,47356,176141,7436624,null,1,6577
320484,60332,264851,1991256,null,5,11820
320485,25438,586453,2316298,null,4,19422
320486,57150,204357,2725068,null,3,3196
320487,28991,606211,7349811,null,3,1151
320488,50034,629606,3234470,null,4,14175
320489,10717,751008,2044357,null,4,11281
320490,15574,126701,7942200,null,3,1373
320491,10058,9989,7415402,null,5,3000
320492,39274,630786,4380851,null,3,19009
320493,61196,736926,6122254,null,1,19443
320494,21225,858516,3614803,null,3,4782
320495,10687,755758,7113157,null,5,8215
320496,12360,678158,2076900,null,4,17313
320497,22696,705674,914155,null,5,13318
320498,2073,38661,6147309,null,4,16633
320499,50608,786905,142578,null,5,17087
320500,21022,292739,1837515,null,1,13414
320501,52791,347904,4971917,null,2,19505
320502,26729,675958,564105,null,1,5790
320503,9261,123505,7191482,null,4,18780
320504,4425,291974,254254,null,1,17354
320505,20637,275237,1549830,null,1,11801
320506,3657,732670,3985243,null,1,12138
320507,57678,455783,6256165,null,3,3996
320508,54738,384355,4586298,null,3,1922
320509,10868,730521,3500300,null,4,5018
320510,15707,634013,5806464,null,3,2322
320511,1104,212544,5532476,null,1,17751
320512,37704,5723,437342,null,5,16785
320513,78602,355288,3864334,null,5,11482
320514,45856,32781,6549888,null,4,15056
320515,7122,889886,3239058,null,2,15257
320516,25423,249730,5963665,null,2,13350
320517,12797,260746,5074874,null,5,16541
320518,69030,566198,5629938,null,3,9634
320519,66325,827471,4654958,null,4,17366
320520,79604,935317,5137874,null,4,15457
320521,35830,555730,6487268,null,5,6779
320522,60652,119867,6714016,null,5,5883
320523,25620,749036,7355612,null,4,5827
320524,52230,95701,521667,null,2,11447
320525,44778,41596,7943602,null,4,6153
320526,12942,744991,5278366,null,5,10579
320527,12957,804910,5406366,null,4,19227
320528,7255,322642,3509316,null,3,11787
320529,10135,494474,5317714,null,4,15674
320530,50887,642041,4412464,null,4,16634
320531,40635,556518,1367442,null,2,8714
320532,71700,348331,7270355,null,1,10530
320533,55719,686228,618334,null,2,2679
320534,47958,773150,2054827,null,4,13140
320535,26101,197361,4484756,null,4,7468
320536,6924,636095,90026,null,5,17514
320537,16244,663621,3650272,null,3,12274
320538,17264,478690,3485742,null,5,15560
320539,55992,673024,1518088,null,4,5272
320540,43076,750960,2775552,null,3,3671
320541,52882,891628,7135095,null,4,11973
320542,35026,327307,6877554,null,4,17775
320543,63957,898458,515738,null,5,14936
320544,39394,644279,1390827,null,1,1644
320545,36926,391623,3028728,null,1,13584
320546,29185,607725,1276248,null,5,18163
320547,38820,595525,6610470,null,1,13728
320548,53931,304059,5603682,null,3,14349
320549,6177,300891,7417611,null,3,9134
320550,78118,671834,4064544,null,4,738
320551,52756,67375,7147089,null,5,7
320552,27169,798883,7258802,null,2,5882
320553,49151,648596,7590501,null,2,4818
320554,13663,662327,2691011,null,4,15882
320555,4780,102711,4192539,null,4,7109
320556,9246,716992,883089,null,5,16383
320557,22591,867875,367243,null,4,10266
320558,30469,908205,4319480,null,1,17017
320559,63830,724211,7902622,null,1,7166
320560,32942,355187,2230757,null,2,6910
320561,20564,890974,4639267,null,1,5101
320562,78944,274960,578473,null,2,14882
320563,13571,359518,4271869,null,5,18321
320564,6573,672046,3587064,null,3,10094
320565,12085,111516,7913635,null,1,2457
320566,34985,412495,5246763,null,2,11541
320567,44223,738301,7676655,null,3,12415
320568,57312,855179,105787,null,5,3212
320569,20446,759683,2274225,null,3,18734
320570,18418,518877,2474512,null,2,7276
320571,74678,867447,6628576,null,3,10628
320572,46787,774588,2997178,null,1,18896
320573,58482,762683,340851,null,3,17021
320574,20637,461225,2307732,null,5,18711
320575,26483,136681,3152433,null,1,13678
320576,63454,147371,6679813,null,3,19686
320577,17581,812889,5918965,null,1,18452
320578,3149,242678,7980983,null,1,18611
320579,66163,815927,1392169,null,5,17039
320580,40314,149007,3351030,null,3,13995
320581,9915,962125,3663408,null,5,10545
320582,21550,76873,3278128,null,3,11584
320583,60064,479777,484785,null,4,9169
320584,36315,129605,2567872,null,4,8258
320585,50622,217487,3628412,null,3,6556
320586,49002,291276,2649063,null,2,5511
320587,34254,605782,6460072,null,4,6078
320588,40396,919629,7130979,null,3,16422
320589,39450,972542,3723229,null,4,11321
320590,27021,91633,3674246,null,3,877
320591,3998,325237,5830178,null,1,16489
320592,37201,479702,7127332,null,5,17441
320593,21999,357132,4632520,null,4,6658
320594,943,350530,6790464,null,1,2852
320595,4163,294017,5483710,null,2,2236
320596,22948,28930,6978181,null,3,5909
320597,3533,505760,278468,null,3,638
320598,73951,10336,4355546,null,5,5009
320599,79498,151938,1148504,null,2,7418
320600,48185,748387,608543,null,5,16255
320601,29123,294228,4572196,null,3,18875
320602,69317,346788,3915237,null,2,13961
320603,65232,548875,410044,null,3,14390
320604,27350,705380,5092142,null,4,976
320605,47803,396363,5312763,null,3,4666
320606,12495,316032,6123238,null,4,9581
320607,51602,738347,2800226,null,4,12251
320608,76016,530311,6961667,null,3,8289
320609,14349,792648,3773331,null,4,19251
320610,39768,731041,7289810,null,4,16110
320611,20774,263908,4811957,null,2,14341
320612,61092,44980,3448473,null,3,1459
320613,5477,731639,5357013,null,4,18938
320614,12329,153428,4287506,null,2,10730
320615,58395,537913,4269361,null,3,17317
320616,18428,635134,6152184,null,3,18271
320617,693,325377,846581,null,1,506
320618,41772,514557,5474303,null,2,5331
320619,51507,208397,1779127,null,3,9794
320620,31960,110336,5212450,null,4,4357
320621,63955,258900,2349247,null,3,14576
320622,11959,115427,7090207,null,1,16094
320623,26620,729621,4865890,null,2,18232
320624,59153,237402,3189808,null,4,11715
320625,37945,556448,596056,null,4,18382
320626,60815,534907,6724283,null,3,15128
320627,49920,956187,6552565,null,3,11678
320628,39337,721147,6155418,null,1,333
320629,67375,665704,6727093,null,2,13494
320630,45731,19677,2869701,null,5,15282
320631,42987,460399,3100464,null,1,16625
320632,2584,655818,5745434,null,4,14864
320633,22759,995929,471658,null,5,14457
320634,27639,173694,2161796,null,1,4683
320635,17293,320864,5460990,null,1,4783
320636,4369,216847,6028976,null,2,2705
320637,69260,813851,744198,null,5,13147
320638,21008,133182,1605131,null,2,8799
320639,75748,656711,2390841,null,3,5170
320640,35784,420092,3093709,null,2,12928
320641,25738,31387,1905686,null,3,11040
320642,26674,764620,6443853,null,3,459
320643,33565,195527,3547703,null,1,13506
320644,76321,715492,1538054,null,5,14948
320645,31516,61262,4952563,null,3,13136
320646,19733,785907,1578774,null,3,12346
320647,18338,419689,7255608,null,1,4818
320648,5527,775432,5682772,null,5,1846
320649,50383,53028,186775,null,3,515
320650,63384,670656,5157161,null,5,7645
320651,56868,229110,2515972,null,4,17762
320652,62555,99692,7505195,null,2,9378
320653,60006,789937,4624454,null,3,17986
320654,26389,201405,7945470,null,1,18613
320655,49009,888792,803072,null,2,11962
320656,69096,658686,3733426,null,5,4046
320657,33637,996444,3366245,null,3,1052
320658,7952,857742,7691235,null,3,14158
320659,33071,271448,4871873,null,2,18648
320660,45329,230504,2620630,null,2,15972
320661,75750,191079,6543090,null,4,543
320662,16847,776492,6036095,null,4,6857
320663,12195,212153,6490214,null,5,17569
320664,23719,883820,5627777,null,3,9171
320665,35941,28011,405485,null,3,5348
320666,48565,380380,5824382,null,1,13840
320667,60657,790241,1943336,null,4,1013
320668,40287,782657,6943579,null,2,7127
320669,6374,960905,5456560,null,2,962
320670,56419,244160,7913649,null,5,841
320671,41511,149155,2319093,null,3,18906
320672,14523,403773,3857173,null,1,14942
320673,56639,514209,4797098,null,1,5260
320674,14921,179454,1302535,null,3,13537
320675,56749,168362,6920878,null,5,12773
320676,18061,555514,6570508,null,1,16112
320677,66490,953904,6576504,null,2,5453
320678,75579,279099,2818513,null,5,1649
320679,13168,75170,3831516,null,3,12083
320680,45872,863648,3020547,null,1,3736
320681,69658,100463,6466919,null,3,15852
320682,55435,810047,4302774,null,4,14354
320683,64983,666886,1569563,null,3,8629
320684,68890,752677,3600849,null,3,9968
320685,74343,656069,6025210,null,5,15995
320686,1522,721663,2976381,null,4,6180
320687,71179,929182,2312436,null,5,13570
320688,59622,232091,1591581,null,1,14514
320689,13968,47484,4564498,null,1,3912
320690,32541,43634,3923113,null,5,17645
320691,21666,278309,693480,null,1,3962
320692,1292,549819,7026622,null,1,14091
320693,11698,952140,3136213,null,5,1260
320694,70682,728974,2754232,null,4,12507
320695,53822,215931,4260534,null,2,6670
320696,11459,352999,5604861,null,1,12740
320697,60748,477940,2914715,null,2,8940
320698,17962,393300,1229340,null,5,12699
320699,39072,308378,5811802,null,4,2109
