ID,COSTO_SERVICIOS,PERSONA
176,736503,122845
177,710358,24963
178,745713,86205
179,521327,27735
180,210756,21057
181,36498,76721
182,796089,148934
183,16951,68469
184,607204,3562
185,43288,52232
186,703329,62038
187,213800,123762
188,416130,16826
189,6018,21505
190,156073,37694
191,193861,130156
192,557312,99594
193,850140,135533
194,619945,106859
195,650473,119565
196,564672,149525
197,895944,129887
198,27850,130672
199,56132,36404
200,541488,45227
201,827834,97651
202,714809,49249
203,665147,16025
204,361811,127225
205,151036,103916
206,545818,18768
207,244069,105136
208,412850,31148
209,989045,61721
210,73539,135065
211,228724,70147
212,955280,6389
213,787156,20580
214,620694,129156
215,594772,132566
216,360370,67683
217,290731,38953
218,316419,73352
219,4374,79151
220,156215,5804
221,943063,85833
222,926711,20798
223,123843,62370
224,780974,23734
225,492357,49565
226,810484,97912
227,181727,46013
228,133385,132356
229,633011,70228
230,824206,103252
231,420029,132678
232,280405,9060
233,8814,79500
234,727086,47316
235,843469,51892
236,295597,121401
237,107820,5227
238,638607,44162
239,286312,74014
240,907489,61585
241,554260,88038
242,703628,109305
243,206354,77246
244,835742,132251
245,545714,102380
246,471846,128217
247,195008,64084
248,75926,137094
249,498103,132265
250,517712,48869
251,11575,54210
252,643448,7301
253,351997,135649
254,11274,56213
255,271249,134329
256,268177,34576
257,973558,1191
258,248394,33828
259,3537,1851
260,708505,24879
261,207112,29306
262,508997,48121
263,331671,52392
264,55674,42811
265,336446,35075
266,313270,55950
267,953956,82226
268,193249,59231
269,505371,141629
270,300419,96690
271,438360,58747
272,321949,94564
273,748569,131074
274,599375,5558
275,531926,92097
276,554447,67178
277,540885,23684
278,475749,32823
279,571228,118329
280,48172,66109
281,240256,141554
282,427443,136847
283,48576,46080
284,193704,114179
285,89930,139930
286,862766,17829
287,144393,112844
288,789339,75212
289,781861,85102
290,361694,65379
291,65306,92893
292,395187,78125
293,187875,102400
294,209564,102806
295,761681,149681
296,660704,139772
297,460255,34886
298,56988,60166
299,52660,68129
300,676990,70530
301,158319,88989
302,53303,71327
303,405004,33093
304,977306,115229
305,35363,45226
306,837358,119664
307,237056,10696
308,336842,28525
309,620431,115652
310,407548,80556
311,653928,26776
312,483449,88603
313,269039,132870
314,61494,89840
315,76851,3636
316,63796,61070
317,893381,89378
318,669550,65477
319,507683,13925
320,744585,40004
321,468237,115763
322,707079,22878
323,772662,70769
324,11741,95568
325,612209,33989
326,814630,59528
327,255278,103801
328,99548,93124
329,999403,30546
330,471910,105818
331,545857,127100
332,969504,55489
333,838950,58757
334,628282,83935
335,718737,54866
336,843235,91067
337,609367,76927
338,294177,15046
339,637040,22557
340,271069,12476
341,690588,101159
342,885982,5267
343,999704,88729
344,716302,141624
345,734092,149177
346,146139,131401
347,303363,98875
348,524009,102574
349,403367,130601
350,625476,51879
351,718893,40877
352,23849,18415
353,902408,79906
354,769720,123055
355,10859,109129
356,540367,138225
357,499840,85231
358,517706,90984
359,660249,92568
360,748365,9114
361,603325,116862
362,524976,73483
363,244923,37400
364,351644,113892
365,123436,47992
366,470916,11389
367,928536,64508
368,541139,79057
369,567971,119426
370,649764,11449
371,46561,126714
372,714979,101150
373,949616,119255
374,174537,127455
375,288956,19523
376,463477,137277
377,949051,3539
378,112889,17977
379,196329,65090
380,567117,94159
381,202947,57650
382,441549,123453
383,313819,49510
384,742574,133808
385,941412,129514
386,238930,121845
387,173164,9672
388,50116,115763
389,655543,106169
390,169072,53059
391,369739,56085
392,48443,4163
393,25609,112373
394,401214,47891
395,647620,39252
396,372983,92028
397,294467,32228
398,612320,7062
399,568612,147758
400,760965,127722
401,485537,148006
402,97056,15256
403,334021,122556
404,701431,83606
405,265990,74848
406,364045,37753
407,237634,75039
408,720627,49725
409,141117,55823
410,155421,25917
411,184723,137574
412,798063,128412
413,48769,140752
414,822828,107586
415,708658,16791
416,92300,86820
417,927784,119964
418,706099,122891
419,115529,125111
420,699094,136832
421,981940,134929
422,965716,86513
423,742880,8688
424,741853,24409
425,59230,100430
426,29211,130198
427,69900,30263
428,479640,41609
429,745982,43078
430,975611,64417
431,831443,24351
432,232291,122963
433,931208,119288
434,80621,18903
435,7007,103289
436,807216,66871
437,337376,132215
438,270896,124158
439,560990,49927
440,26973,103864
441,275808,124051
442,934299,124766
443,957801,83725
444,244094,131560
445,748144,63690
446,525914,19957
447,618285,62806
448,129221,106017
449,547999,141121
450,536604,12903
451,112741,123289
452,643969,48677
453,345319,56540
454,951991,78419
455,788449,145939
456,439563,13956
457,601560,92618
458,230641,36010
459,46935,101845
460,184851,28944
461,871270,38545
462,163319,118267
463,266971,148994
464,728563,53568
465,658455,50619
466,119890,20578
467,728686,137006
468,684175,98413
469,853797,79937
470,111267,52454
471,467831,64844
472,20883,13358
473,738977,133415
474,435627,117213
475,648716,112843
476,362197,50078
477,344687,20917
478,6639,93072
479,441200,147046
480,841016,4482
481,881255,72851
482,509370,28102
483,592021,72149
484,572399,70750
485,845551,127977
486,564320,118418
487,462204,46196
488,554795,70937
489,367868,11789
490,238321,98123
491,190963,80407
492,907974,133328
493,931069,74763
494,129832,11822
495,387164,87208
496,305943,40479
497,109211,143133
498,360125,22805
499,64462,37862
500,11867,143627
501,188684,41583
502,756206,9548
503,143422,143216
504,165559,19410
505,472556,23515
506,421563,18835
507,66651,101971
508,348209,30579
509,785132,51607
510,635139,132107
511,311675,37817
512,659953,51393
513,805125,22500
514,374350,90060
515,657465,124301
516,868881,146052
517,371758,92254
518,692596,60830
519,365276,21377
520,583008,96400
521,223608,92067
522,825104,70966
523,188495,64170
524,292113,5297
525,584604,64828
526,896991,75590
527,18148,50271
528,804488,149971
529,999130,41638
530,806540,99196
531,685551,24995
532,41215,49215
533,259630,44300
534,72124,131218
535,296152,40678
536,656883,112523
537,149371,26473
538,257087,32781
539,396899,119605
540,262780,27590
541,410921,15043
542,525837,19548
543,27618,8744
544,720187,52135
545,144457,99971
546,865641,44610
547,122469,115737
548,830711,23298
549,740895,73873
550,204793,123480
551,592076,80874
552,327563,94036
553,506858,124816
554,547602,6503
555,838646,29098
556,44319,39845
557,765057,147155
558,916760,36774
559,729459,0
560,506109,102061
561,750494,48776
562,615545,32088
563,197711,33988
564,733614,110367
565,686473,65868
566,71130,50166
567,182483,51953
568,164195,63312
569,240060,105265
570,43414,105000
571,546705,136115
572,916704,140843
573,93308,138755
574,362249,58615
575,361224,43149
576,338799,22169
577,588936,13812
578,843378,83199
579,498952,34399
580,257109,136449
581,875408,12000
582,474380,70675
583,585052,66695
584,838015,146041
585,816017,90335
586,673071,3431
587,731254,86904
588,690555,143302
589,452073,44756
590,86120,112877
591,389224,84455
592,888936,120066
593,287742,83111
594,583816,113445
595,36999,46917
596,394596,135516
597,70875,27508
598,329351,27577
599,885423,24491
600,312723,102221
601,252577,1763
602,872605,66273
603,308960,14879
604,634782,104324
605,18320,106548
606,930094,36911
607,516245,55762
608,369931,22831
609,370986,76025
610,379436,46034
611,987314,145495
612,171751,24875
613,96799,79897
614,382302,61216
615,477429,83941
616,433202,14953
617,712064,117266
618,806262,142765
619,827386,73692
620,479072,25720
621,946281,95065
622,801435,21537
623,123262,73236
624,296797,111554
625,960142,118780
626,596676,9173
627,252273,50666
628,654248,80300
629,546250,77317
630,941391,34639
631,695234,31514
632,858864,18623
633,963684,100256
634,172234,103317
635,85659,112421
636,78153,30713
637,513366,67949
638,900734,65905
639,679368,89662
640,218000,115830
641,514860,67742
642,256390,53422
643,676531,29295
644,669046,2992
645,363050,84755
646,391521,3111
647,541927,118480
648,539676,48534
649,355505,48606
650,630311,21017
651,3779,58016
652,192454,148471
653,321504,111385
654,970396,25188
655,256416,22746
656,771181,123576
657,581653,47546
658,869494,114399
659,9746,75444
660,222607,3524
661,618895,103865
662,363106,23104
663,921121,57186
664,644444,46766
665,973213,87666
666,204745,95252
667,385648,39229
668,879888,141666
669,819001,32278
670,41177,103591
671,12160,39627
672,242986,61829
673,657841,65776
674,425781,13988
675,484309,17580
676,216056,143875
677,825112,82158
678,616883,12701
679,532431,107522
680,8911,3634
681,963862,89138
682,500924,144747
683,695695,136582
684,724659,80415
685,433038,40300
686,962232,40642
687,350986,115061
688,23127,17776
689,501224,78254
690,20404,58447
691,500124,79055
692,3578,27504
693,282676,34662
694,561603,93074
695,933826,77328
696,824220,13911
697,76103,81293
698,541098,111934
699,958397,136248
700,499437,5591
701,308793,17640
702,240540,140828
703,848996,142287
704,278774,21888
705,457361,32293
706,595652,141668
707,486818,84658
708,447806,49837
709,932652,95297
710,719909,42924
711,251137,32657
712,632707,38997
713,616424,62661
714,380441,20142
715,256955,139397
716,62559,106703
717,683149,36271
718,512800,46290
719,594921,110267
720,55626,33565
721,595803,126435
722,316551,144855
723,455764,92588
724,496672,123492
725,171042,22082
726,539030,39648
727,429281,5674
728,128963,84686
729,767733,17944
730,797903,5711
731,308064,84118
732,144253,101013
733,160328,129317
734,629596,59220
735,398227,33507
736,15853,97833
737,577918,128873
738,876927,75308
739,156649,4959
740,496034,31261
741,805281,85453
742,392152,133533
743,785899,76663
744,234979,69490
745,102740,109243
746,279856,39464
747,690461,63026
748,624892,96802
749,353302,64698
750,268799,96045
751,982042,83791
752,7276,59200
753,476976,60828
754,223776,93730
755,265345,102095
756,664636,24491
757,358073,89991
758,568889,137484
759,571001,35991
760,416812,137958
761,963224,11293
762,441427,88575
763,193320,99090
764,217992,119978
765,19296,30235
766,630069,104463
767,784364,146789
768,466981,3668
769,828824,19582
770,802785,65566
771,503874,132953
772,370078,38260
773,635040,2646
774,860660,40999
775,242589,91617
776,816618,52315
777,170216,123389
778,418148,114463
779,863856,46057
780,788774,28229
781,321270,18263
782,562327,5315
783,530755,19419
784,449450,117411
785,591847,135796
786,823496,71628
787,264432,85097
788,117577,112361
789,541548,58953
790,349483,52768
791,946758,67151
792,46931,136319
793,212542,36529
794,596239,74189
795,103075,89114
796,890691,78116
797,283241,16517
798,715879,64678
799,628063,42729
800,497727,75449
801,394936,15956
802,350906,115367
803,198292,45917
804,19101,114959
805,878914,70467
806,688702,19747
807,322606,32257
808,213142,45722
809,956317,142948
810,894876,68538
811,76655,145725
812,981757,120022
813,796672,92669
814,44557,79788
815,319883,118796
816,220727,84993
817,432981,105588
818,799854,110505
819,131693,52484
820,536589,5780
821,570671,94451
822,938488,17484
823,525070,21846
824,970597,4908
825,978491,93082
826,794562,5376
827,817087,30127
828,572156,52960
829,1744,66735
830,908441,84001
831,736972,130834
832,590837,15421
833,250732,44617
834,689389,15430
835,614394,31559
836,846658,28311
837,238664,120092
838,871277,79647
839,17196,103967
840,310684,52001
841,439306,139910
842,937352,36218
843,432462,130522
844,993747,70205
845,426619,88237
846,211133,125497
847,967529,141816
848,684877,80940
849,267407,84515
850,152088,93767
851,983408,62610
852,806803,78432
853,363215,94933
854,242032,49102
855,969832,66423
856,731426,115203
857,299567,69897
858,13452,118704
859,458243,38817
860,343618,75968
861,339171,30678
862,337524,50215
863,348668,84811
864,626959,143834
865,941485,23550
866,439141,91709
867,708666,86780
868,926550,137530
869,462801,82191
870,772783,75164
871,954086,84980
872,780083,127686
873,180316,79616
874,578627,109404
875,480817,70993
876,898780,142997
877,129848,143596
878,786188,101960
879,123533,8265
880,381802,24804
881,834165,15601
882,611675,50603
883,895330,111550
884,596252,83018
885,821912,33654
886,399841,33968
887,771496,16815
888,852731,113146
889,743106,4636
890,184864,57320
891,963122,14670
892,464601,76778
893,76415,136137
894,846491,114488
895,764330,100946
896,467203,126168
897,319692,148373
898,950046,63248
899,1569,42150
900,39062,124284
901,229940,5612
902,659047,65563
903,970684,83064
904,424094,35915
905,85011,82342
906,552753,89840
907,467737,62709
908,728035,100834
909,220882,56716
910,650613,87833
911,382139,49165
912,876525,73242
913,722852,142043
914,722,55017
915,432779,107168
916,438550,91415
917,4933,23879
918,711487,140139
919,116816,82776
920,694288,26411
921,27115,65043
922,594413,106366
923,753209,8921
924,782488,44292
925,75482,8333
926,478903,142339
927,870688,50667
928,776711,5345
929,941934,31101
930,540159,16280
931,986467,41332
932,920942,141278
933,229497,97280
934,932558,111522
935,881238,67544
936,399823,84858
937,655604,140273
938,521030,40028
939,971229,75510
940,944901,31354
941,387113,624
942,448778,119907
943,364278,13378
944,313171,3490
945,853678,28933
946,41586,941
947,176693,2144
948,11226,37161
949,439605,38824
950,145748,6443
951,139057,70039
952,499492,105971
953,773337,48015
954,1417,27548
955,406767,23994
956,833110,106167
957,703357,83782
958,734576,30735
959,909075,71217
960,277776,100166
961,600039,52595
962,864518,75820
963,74247,40793
964,136879,139118
965,2682,116461
966,84305,50788
967,490956,112032
968,611189,27880
969,495749,149220
970,306603,96054
971,740380,113257
972,786382,118205
973,65395,110835
974,954071,51073
975,73749,134
976,363519,91051
977,436261,24724
978,50953,19337
979,947223,126038
980,211220,81966
981,721912,44280
982,848729,73866
983,420750,14431
984,256322,46270
985,963971,57209
986,134672,120398
987,405825,15719
988,929871,64870
989,495296,30049
990,454171,108258
991,161606,124929
992,349639,107056
993,518478,57290
994,407233,66623
995,386600,115631
996,458320,2357
997,511813,127388
998,26624,110920
999,445148,108358
1000,796718,145032
1001,297775,137207
1002,686268,98260
1003,325427,86945
1004,996665,109393
1005,102494,23327
1006,436088,134268
1007,982216,92299
1008,609721,73405
1009,816379,49245
1010,646003,89644
1011,821790,1897
1012,461812,63894
1013,343330,84846
1014,737510,27553
1015,918763,37439
1016,591295,28880
1017,351126,82049
1018,925228,489
1019,436676,81827
1020,402402,37002
1021,575004,131772
1022,967086,38717
1023,290007,25070
1024,999396,6385
1025,841801,81480
1026,809540,143545
1027,41497,94515
1028,394470,68390
1029,543939,4345
1030,794178,104596
1031,61632,48626
1032,789555,81315
1033,798053,8324
1034,151898,1064
1035,684295,139460
1036,120831,92861
1037,592260,40310
1038,305028,17124
1039,502946,108292
1040,765394,130388
1041,862063,26256
1042,840032,35560
1043,49107,69128
1044,648835,131780
1045,867070,52136
1046,109636,49811
1047,237377,1068
1048,20882,51909
1049,907665,71325
1050,677063,121170
1051,933680,75801
1052,121669,98224
1053,60382,18494
1054,395099,133437
1055,150133,111184
1056,44909,119814
1057,759580,17817
1058,243248,7006
1059,926704,58490
1060,695809,119384
1061,501369,137450
1062,899298,99907
1063,868464,82738
1064,365009,30056
1065,665840,30852
1066,639107,21514
1067,492987,51798
1068,50283,121120
1069,305475,133983
1070,192891,62369
1071,599405,121702
1072,786925,19808
1073,758874,79815
1074,36270,71095
1075,269894,88471
1076,278777,34851
1077,629151,113614
1078,720750,103847
1079,997019,139618
1080,836584,80041
1081,154239,41722
1082,113493,101128
1083,310750,124448
1084,126579,93157
1085,390770,83251
1086,649953,68416
1087,773044,43497
1088,37590,100445
1089,890662,17704
1090,418831,27137
1091,390445,92202
1092,994535,146687
1093,408681,115330
1094,296954,97506
1095,306017,118997
1096,976058,7155
1097,201831,35272
1098,682419,74834
1099,288312,119322
1100,740945,127313
1101,337502,148228
1102,378266,127438
1103,341113,246
1104,750589,34038
1105,783805,39485
1106,507377,60030
1107,750374,16498
1108,191619,24546
1109,720165,117584
1110,9336,125802
1111,989960,68071
1112,452350,39023
1113,498369,111869
1114,712768,63348
1115,499324,116334
1116,72668,38275
1117,620794,4086
1118,644396,134601
1119,515553,33092
1120,510410,10545
1121,167355,115919
1122,171842,33846
1123,900641,21115
1124,505979,56241
1125,190831,90444
1126,764559,30093
1127,297714,36684
1128,764427,74946
1129,825098,92566
1130,146067,147115
1131,849423,5685
1132,35947,139177
1133,253560,127749
1134,276361,145299
1135,540416,73650
1136,31869,69035
1137,627143,40216
1138,751655,13559
1139,795213,22603
1140,494222,28296
1141,214623,116904
1142,534793,140340
1143,640807,33602
1144,411340,87224
1145,442496,70744
1146,129096,23790
1147,433247,43327
1148,597667,123807
1149,169887,24008
1150,823228,119296
1151,126689,59885
1152,219067,48364
1153,318603,96059
1154,126504,51219
1155,480529,76556
1156,297123,50750
1157,134619,20418
1158,738929,116332
1159,801593,3219
1160,687525,39089
1161,760467,33341
1162,711125,83540
1163,662324,59769
1164,585184,112365
1165,293712,93932
1166,185618,144179
1167,126914,16594
1168,706147,130785
1169,679648,9043
1170,678767,118674
1171,657550,19884
1172,115140,112552
1173,454684,146370
1174,187707,68572
1175,510581,108012
1176,68514,73086
1177,9889,106221
1178,827608,14387
1179,152087,98746
1180,375346,11814
1181,470695,136127
1182,540861,92781
1183,45816,112349
1184,505523,121909
1185,34413,66379
1186,746645,126368
1187,579611,3267
1188,879758,50614
1189,409981,65390
1190,464787,141469
1191,5682,126696
1192,871224,10105
1193,598639,67593
1194,538228,51262
1195,685271,145713
1196,686264,27096
1197,18586,126573
1198,82347,57720
1199,542837,66567
1200,701937,81110
1201,245145,136811
1202,681766,62146
1203,551991,20318
1204,246498,92470
1205,490148,126093
1206,309250,74976
1207,67261,107930
1208,788319,253
1209,938671,23241
1210,497732,88012
1211,544684,65885
1212,808328,34978
1213,660883,99018
1214,729638,42600
1215,974503,91252
1216,511702,100161
1217,912016,96354
1218,360309,111940
1219,841913,51274
1220,506167,123703
1221,104063,8861
1222,612648,132601
1223,580396,136778
1224,405497,106552
1225,254250,142264
1226,699113,116288
1227,560655,138507
1228,637420,123559
1229,913005,113751
1230,779475,112266
1231,659688,86975
1232,411611,84729
1233,708191,90510
1234,758586,39488
1235,108980,114643
1236,42589,103126
1237,999047,1508
1238,659899,28707
1239,600557,107706
1240,141924,74618
1241,2202,82752
1242,38938,84055
1243,560899,95559
1244,643082,59580
1245,220121,52266
1246,952548,25259
1247,819368,59725
1248,444423,69883
1249,561706,142873
1250,256587,101515
1251,868275,106459
1252,556580,98137
1253,336420,95655
1254,986065,1509
1255,739381,39763
1256,983564,70414
1257,409447,132191
1258,289064,82676
1259,326122,21539
1260,619642,144778
1261,962711,16389
1262,510891,85538
1263,895253,12043
1264,764580,89058
1265,812734,62448
1266,809307,96425
1267,454748,33105
1268,141181,99337
1269,294023,103858
1270,668286,105747
1271,938743,37664
1272,249464,140226
1273,469362,52964
1274,511182,76500
1275,138396,57547
1276,619942,118534
1277,40241,10723
1278,86336,146683
1279,141882,74909
1280,502610,98794
1281,934882,27180
1282,720035,99123
1283,718782,68142
1284,477292,145378
1285,213626,60402
1286,838641,55433
1287,758275,47688
1288,332539,74412
1289,135442,61431
1290,235084,31675
1291,100267,48461
1292,130926,78866
1293,439752,4568
1294,528929,47144
1295,839211,82039
1296,623218,46297
1297,867866,111840
1298,48403,22934
1299,778579,106247
1300,622000,16174
1301,455884,17044
1302,857168,37721
1303,792973,137661
1304,818557,115581
1305,835273,138427
1306,804277,75976
1307,649191,89788
1308,820019,92523
1309,358197,68648
1310,403118,67323
1311,171843,135208
1312,663889,12087
1313,412848,123039
1314,169768,25632
1315,907486,126446
1316,298256,98977
1317,493901,137618
1318,397592,13942
1319,262269,74265
1320,260819,14293
1321,480208,59953
1322,378319,43240
1323,920019,139054
1324,259816,66970
1325,837330,67066
1326,772741,126004
1327,718684,93501
1328,527341,121919
1329,220263,52817
1330,824387,113613
1331,480581,7534
1332,591380,78659
1333,93100,65191
1334,451493,113321
1335,998113,68762
1336,981273,33170
1337,895419,96542
1338,89127,113077
1339,761742,48637
1340,479109,72577
1341,52954,89354
1342,620037,78951
1343,204457,5268
1344,589137,148915
1345,827621,76769
1346,162375,85788
1347,225620,6013
1348,403805,70672
1349,899072,34446
1350,270043,140246
1351,320217,141961
1352,511031,7519
1353,128351,131458
1354,922182,81709
1355,430923,10652
1356,209984,7513
1357,252730,99558
1358,986390,43508
1359,525517,1179
1360,155847,116294
1361,982902,102354
1362,223385,79614
1363,514345,6052
1364,334568,143223
1365,438428,55403
1366,523142,59665
1367,193927,78559
1368,975737,138820
1369,568306,74302
1370,130665,142287
1371,782384,59360
1372,891724,22458
1373,886390,26015
1374,17128,37663
1375,495267,20044
1376,511610,76307
1377,129053,135665
1378,575694,38387
1379,777299,74438
1380,731284,21737
1381,856338,75801
1382,801315,29933
1383,775336,101436
1384,922133,20937
1385,587449,124393
1386,821131,101428
1387,419480,86638
1388,671866,1261
1389,759616,1507
1390,22304,106110
1391,610937,79592
1392,42405,47440
1393,971269,45393
1394,220411,60336
1395,227484,92922
1396,712327,12147
1397,92552,24317
1398,554312,37647
1399,726883,87075
1400,927780,81901
1401,46080,119210
1402,941192,28869
1403,537842,79607
1404,3554,48359
1405,818738,147244
1406,670664,33451
1407,717870,18291
1408,324296,89755
1409,825307,137275
1410,113696,72210
1411,862275,83426
1412,5309,63669
1413,980087,48125
1414,604245,116244
1415,177421,5433
1416,620348,56828
1417,407746,40074
1418,804333,9137
1419,305158,110481
1420,985435,55170
1421,167435,34927
1422,785501,37922
1423,534532,105766
1424,293200,28853
1425,381167,49894
1426,481614,102987
1427,162169,95792
1428,755581,131506
1429,315106,123983
1430,291713,38808
1431,322022,77807
1432,725160,129899
1433,587075,53849
1434,654552,109156
1435,349405,137822
1436,53189,112054
1437,939749,33551
1438,439001,143674
1439,577812,67400
1440,410476,95413
1441,502702,1076
1442,37621,19267
1443,75174,102228
1444,486708,5688
1445,888602,121090
1446,223937,116496
1447,627108,55828
1448,940094,128024
1449,217005,91404
1450,3854,100534
1451,442063,144422
1452,337648,127378
1453,149109,145712
1454,70355,42420
1455,655919,75614
1456,2577,106060
1457,871312,108613
1458,138115,18279
1459,618999,11801
1460,42979,113845
1461,371671,112796
1462,574976,65974
1463,307167,64653
1464,623806,36391
1465,246579,96846
1466,408439,18627
1467,970654,3867
1468,453810,113179
1469,52333,10855
1470,549961,146477
1471,805313,17278
1472,130100,26439
1473,297654,124133
1474,347266,127693
1475,64633,17060
1476,849207,99002
1477,424924,40861
1478,271725,115815
1479,237351,78585
1480,449962,115247
1481,461224,141942
1482,824416,143984
1483,914740,96897
1484,317588,40221
1485,537759,43573
1486,625822,110807
1487,960112,64378
1488,489520,139467
1489,359077,54565
1490,895428,77354
1491,813675,92768
1492,397769,96996
1493,551458,22828
1494,469271,132115
1495,750048,82566
1496,945929,15808
1497,416852,94278
1498,654837,149583
1499,58107,101596
1500,550138,115668
1501,225304,119909
1502,637373,32829
1503,897344,92942
1504,823696,84822
1505,661303,97591
1506,334146,74004
1507,891186,144308
1508,742641,90284
1509,10661,35587
1510,43051,125321
1511,12193,80385
1512,292876,141910
1513,38831,109945
1514,953638,106963
1515,146256,122465
1516,157485,6961
1517,422592,89394
1518,227699,37328
1519,493821,139700
1520,416642,117854
1521,875257,137973
1522,608943,46170
1523,50986,134684
1524,492600,71688
1525,245109,5055
1526,158159,23889
1527,502714,92236
1528,178932,147128
1529,678908,19149
1530,181085,79144
1531,811692,140341
1532,280310,45568
1533,593365,66169
1534,627980,29668
1535,142010,64886
1536,608116,63294
1537,964147,106423
1538,444699,47528
1539,773827,124085
1540,543858,107252
1541,894413,101760
1542,370888,31666
1543,354647,36822
1544,246873,29443
1545,613085,45955
1546,52091,125908
1547,576746,99405
1548,664787,119752
1549,261231,113757
1550,668681,143078
1551,880516,5970
1552,146598,41757
1553,273420,149554
1554,674090,23621
1555,588431,69874
1556,976331,118125
1557,292974,85381
1558,856252,80372
1559,496745,24548
1560,686491,108745
1561,630779,71180
1562,244550,141567
1563,449181,108644
1564,670404,25606
1565,194066,33045
1566,425642,114574
1567,503721,129406
1568,122113,68322
1569,723488,127812
1570,943379,138107
1571,737327,78693
1572,191898,64514
1573,357048,145454
1574,839385,102588
1575,960167,94102
1576,3548,81383
1577,205588,80568
1578,157519,84861
1579,350130,91421
1580,283016,123685
1581,906383,145627
1582,672369,73275
1583,982891,100424
1584,222380,46080
1585,705899,114887
1586,385449,20390
1587,603150,67616
1588,969663,70336
1589,164643,35223
1590,727114,52989
1591,653053,27697
1592,925139,130735
1593,127569,22716
1594,425367,32820
1595,639574,3845
1596,18365,90132
1597,525981,46514
1598,332899,65871
1599,741099,29141
1600,578516,119965
1601,968344,124556
1602,416851,136402
1603,413877,57477
1604,926437,123341
1605,691939,65140
1606,304995,88299
1607,273179,107190
1608,572188,110793
1609,303521,129572
1610,866507,113334
1611,680327,17991
1612,343809,7282
1613,648140,134017
1614,528051,142000
1615,81155,119533
1616,38652,75762
1617,214575,81922
1618,234289,83228
1619,158833,50370
1620,402656,70263
1621,968808,19354
1622,802480,53775
1623,692721,123224
1624,736929,70877
1625,95975,51330
1626,300089,86758
1627,100450,85415
1628,359588,6920
1629,383016,6153
1630,59280,31329
1631,323430,110112
1632,52783,108121
1633,324665,66676
1634,685046,96021
1635,933711,117467
1636,175644,86617
1637,531076,79834
1638,401237,36748
1639,52827,82685
1640,289576,41530
1641,252171,63553
1642,339004,101083
1643,552160,43567
1644,89288,20635
1645,793409,19569
1646,10819,113610
1647,709713,97686
1648,270210,17400
1649,549717,132506
1650,575330,1577
1651,68542,121475
1652,47871,59052
1653,909697,38598
1654,935238,105286
1655,305965,48525
1656,101326,12587
1657,810443,107044
1658,256904,107808
1659,311751,61795
1660,735688,129874
1661,558697,100071
1662,975515,22981
