ID,PRECIO,HOSTAL,ESTADO
240077,402713,13507,habilitado
240078,285381,11904,habilitado
240079,465624,4268,habilitado
240080,399695,18024,habilitado
240081,199232,11428,deshabilitado
240082,174960,3756,deshabilitado
240083,455547,18235,habilitado
240084,20147,13297,habilitado
240085,223668,16731,deshabilitado
240086,398706,6011,habilitado
240087,329252,14915,habilitado
240088,461721,1020,habilitado
240089,155736,8290,habilitado
240090,117034,14340,habilitado
240091,163052,9717,deshabilitado
240092,239655,1671,habilitado
240093,211783,10665,habilitado
240094,364179,2323,habilitado
240095,115322,9161,deshabilitado
240096,216671,11922,habilitado
240097,420780,1585,deshabilitado
240098,338602,146,deshabilitado
240099,278094,19659,habilitado
240100,259787,17577,habilitado
240101,207833,14741,deshabilitado
240102,273912,1061,habilitado
240103,160080,4107,deshabilitado
240104,286876,4029,deshabilitado
240105,98609,19653,deshabilitado
240106,15703,5473,habilitado
240107,63330,1246,habilitado
240108,471322,2149,deshabilitado
240109,325514,18901,deshabilitado
240110,319634,1284,habilitado
240111,313519,11754,habilitado
240112,461743,1438,habilitado
240113,167276,16550,deshabilitado
240114,163878,2034,habilitado
240115,388452,4921,deshabilitado
240116,45218,11859,habilitado
240117,183118,9550,deshabilitado
240118,290941,2409,habilitado
240119,192684,19033,deshabilitado
240120,248803,13726,deshabilitado
240121,57548,7784,deshabilitado
240122,212710,15707,habilitado
240123,211885,9871,deshabilitado
240124,348508,3295,habilitado
240125,248481,6207,habilitado
240126,486412,11978,habilitado
240127,227826,19967,habilitado
240128,483752,4342,deshabilitado
240129,88465,11932,habilitado
240130,491066,669,deshabilitado
240131,273241,17130,deshabilitado
240132,75017,1506,deshabilitado
240133,109243,2627,deshabilitado
240134,457507,4583,deshabilitado
240135,482777,4551,deshabilitado
240136,319272,9349,habilitado
240137,124149,18818,deshabilitado
240138,404758,5685,habilitado
240139,485585,18322,deshabilitado
240140,32876,4693,deshabilitado
240141,141343,12975,habilitado
240142,36987,17168,habilitado
240143,23124,19529,habilitado
240144,137426,6325,deshabilitado
240145,82269,8839,deshabilitado
240146,356868,1271,habilitado
240147,266135,5485,habilitado
240148,308889,3642,deshabilitado
240149,41103,19378,habilitado
240150,231655,14727,habilitado
240151,294400,2597,deshabilitado
240152,412930,7311,habilitado
240153,258555,4573,deshabilitado
240154,186802,15866,habilitado
240155,397526,7465,deshabilitado
240156,494467,13678,habilitado
240157,196326,2672,deshabilitado
240158,211843,18572,habilitado
240159,142757,3701,habilitado
240160,491909,13101,habilitado
240161,55283,17213,habilitado
240162,149108,6699,deshabilitado
240163,387650,13804,habilitado
240164,170233,13599,habilitado
240165,24675,13386,deshabilitado
240166,90795,3550,habilitado
240167,442060,9603,habilitado
240168,423879,12075,deshabilitado
240169,392267,19518,deshabilitado
240170,198590,13304,habilitado
240171,426512,13043,deshabilitado
240172,33502,16631,habilitado
240173,277062,14593,habilitado
240174,211172,14311,deshabilitado
240175,438005,3338,deshabilitado
240176,219647,4895,deshabilitado
240177,371414,18275,habilitado
240178,256252,6959,deshabilitado
240179,203620,7996,deshabilitado
240180,400886,10730,deshabilitado
240181,31952,6107,habilitado
240182,135600,19154,habilitado
240183,23651,870,deshabilitado
240184,3873,8284,habilitado
240185,489024,9080,habilitado
240186,412793,7042,habilitado
240187,324666,8014,habilitado
240188,299255,17385,habilitado
240189,11301,1638,habilitado
240190,66729,9243,habilitado
240191,103129,12092,deshabilitado
240192,162920,1145,deshabilitado
240193,410171,10943,deshabilitado
240194,258488,16127,habilitado
240195,85888,1702,habilitado
240196,194803,14778,habilitado
240197,65984,17167,habilitado
240198,50718,4385,deshabilitado
240199,157568,3450,deshabilitado
240200,432722,4824,deshabilitado
240201,36735,9633,habilitado
240202,490533,7935,deshabilitado
240203,495217,6183,habilitado
240204,420922,12498,habilitado
240205,116079,17031,deshabilitado
240206,473215,14360,habilitado
240207,34562,18852,deshabilitado
240208,364059,4760,habilitado
240209,17848,4836,deshabilitado
240210,407896,19804,deshabilitado
240211,3944,10964,habilitado
240212,62807,4879,deshabilitado
240213,119170,4982,deshabilitado
240214,277880,17886,deshabilitado
240215,356385,12027,deshabilitado
240216,288100,3131,deshabilitado
240217,254920,6776,deshabilitado
240218,121956,7851,habilitado
240219,284347,14642,habilitado
240220,395121,8660,habilitado
240221,95470,1121,deshabilitado
240222,170899,15422,deshabilitado
240223,491045,12504,habilitado
240224,229669,18744,deshabilitado
240225,80282,11938,deshabilitado
240226,408155,9157,habilitado
240227,137298,2004,habilitado
240228,37703,8342,deshabilitado
240229,305720,181,deshabilitado
240230,122473,15046,habilitado
240231,249564,4283,deshabilitado
240232,149512,15626,habilitado
240233,178225,14745,deshabilitado
240234,108388,5938,deshabilitado
240235,43084,8190,habilitado
240236,130537,5921,deshabilitado
240237,89583,244,habilitado
240238,292491,1918,deshabilitado
240239,472017,1124,deshabilitado
240240,53327,10005,deshabilitado
240241,18118,15228,deshabilitado
240242,359755,15086,deshabilitado
240243,396226,1210,habilitado
240244,272021,19458,deshabilitado
240245,9427,11107,habilitado
240246,319878,19362,habilitado
240247,200282,9096,deshabilitado
240248,490924,5716,habilitado
240249,78885,8212,deshabilitado
240250,57298,17719,deshabilitado
240251,71346,1370,deshabilitado
240252,475856,9661,habilitado
240253,174856,680,deshabilitado
240254,39902,13704,deshabilitado
240255,35177,4346,deshabilitado
240256,133664,17483,habilitado
240257,18245,16487,deshabilitado
240258,204262,11921,deshabilitado
240259,171168,556,deshabilitado
240260,201514,15381,deshabilitado
240261,95091,7566,deshabilitado
240262,335424,2394,deshabilitado
240263,464871,17807,deshabilitado
240264,176274,261,habilitado
240265,464056,15734,deshabilitado
240266,111701,18698,deshabilitado
240267,451290,17025,habilitado
240268,12501,7101,deshabilitado
240269,213587,8577,habilitado
240270,395667,16640,habilitado
240271,474229,4982,deshabilitado
240272,132582,14879,habilitado
240273,239105,19240,deshabilitado
240274,238721,852,deshabilitado
240275,408424,4748,habilitado
240276,174719,988,habilitado
240277,311295,14560,habilitado
240278,203385,4795,deshabilitado
240279,450200,16357,deshabilitado
240280,8013,8812,habilitado
240281,153746,10166,habilitado
240282,405359,488,habilitado
240283,339346,840,deshabilitado
240284,293739,18812,habilitado
240285,491971,8956,deshabilitado
240286,64570,16132,habilitado
240287,436600,9552,deshabilitado
240288,394960,18007,habilitado
240289,67828,17695,deshabilitado
240290,106664,19369,habilitado
240291,364946,660,deshabilitado
240292,48957,5332,habilitado
240293,464984,2262,habilitado
240294,230801,3790,habilitado
240295,152208,16039,deshabilitado
240296,47036,9880,deshabilitado
240297,375547,2784,deshabilitado
240298,477986,10025,habilitado
240299,371598,3832,deshabilitado
240300,202054,2568,habilitado
240301,455405,329,deshabilitado
240302,174709,14733,habilitado
240303,165563,5325,deshabilitado
240304,426669,9106,habilitado
240305,49753,19197,habilitado
240306,14628,17460,deshabilitado
240307,323742,13130,deshabilitado
240308,105802,5120,habilitado
240309,280544,5114,habilitado
240310,444513,19101,deshabilitado
240311,328260,18656,habilitado
240312,326183,18992,deshabilitado
240313,200647,19262,habilitado
240314,403708,16732,habilitado
240315,18991,2793,habilitado
240316,464360,16162,deshabilitado
240317,75827,18119,habilitado
240318,175202,12100,deshabilitado
240319,497072,13830,deshabilitado
240320,426632,6992,habilitado
240321,330156,16482,habilitado
240322,269073,2470,deshabilitado
240323,201601,18173,deshabilitado
240324,484829,12548,deshabilitado
240325,261248,18354,deshabilitado
240326,272141,11022,habilitado
240327,463425,17187,habilitado
240328,166299,6865,deshabilitado
240329,239807,18324,deshabilitado
240330,331047,17228,deshabilitado
240331,471289,6850,habilitado
240332,331223,6860,deshabilitado
240333,309244,14870,habilitado
240334,181187,15655,deshabilitado
240335,418076,5329,habilitado
240336,317414,12382,deshabilitado
240337,405781,13200,deshabilitado
240338,422555,1623,habilitado
240339,397533,5267,habilitado
240340,35982,13231,habilitado
240341,424744,9494,deshabilitado
240342,187484,3228,deshabilitado
240343,288094,2279,habilitado
240344,258858,8254,habilitado
240345,324366,2349,habilitado
240346,432936,19519,habilitado
240347,438909,18367,habilitado
240348,376128,13344,deshabilitado
240349,377317,12245,habilitado
240350,261584,14487,deshabilitado
240351,245087,10800,habilitado
240352,8121,12077,habilitado
240353,312609,18420,deshabilitado
240354,9483,13328,deshabilitado
240355,298246,6004,deshabilitado
240356,445709,17260,habilitado
240357,300022,17800,deshabilitado
240358,282376,14200,deshabilitado
240359,37124,5977,deshabilitado
240360,486282,14279,deshabilitado
240361,3265,18066,habilitado
240362,299608,4670,habilitado
240363,455852,2693,habilitado
240364,35698,10641,habilitado
240365,193665,14795,deshabilitado
240366,309194,12593,deshabilitado
240367,155516,13740,deshabilitado
240368,325201,10382,deshabilitado
240369,403574,15093,habilitado
240370,97906,14114,deshabilitado
240371,176657,9858,habilitado
240372,253547,11298,habilitado
240373,298235,6397,deshabilitado
240374,458879,7644,habilitado
240375,25440,9496,deshabilitado
240376,385131,17343,deshabilitado
240377,252880,10812,habilitado
240378,99931,15362,habilitado
240379,123212,11978,habilitado
240380,37699,15797,deshabilitado
240381,325895,9651,deshabilitado
240382,77134,17962,habilitado
240383,29280,11758,habilitado
240384,96983,6041,habilitado
240385,216343,8558,habilitado
240386,413796,764,deshabilitado
240387,491779,18830,habilitado
240388,151638,8125,habilitado
240389,303649,15826,habilitado
240390,471091,8642,habilitado
240391,444386,10840,habilitado
240392,80926,9263,habilitado
240393,495041,8313,deshabilitado
240394,147782,3739,deshabilitado
240395,381841,3909,habilitado
240396,259202,17395,deshabilitado
240397,201700,10066,habilitado
240398,191045,3585,habilitado
240399,63483,1037,habilitado
240400,215734,19522,deshabilitado
240401,112055,5454,deshabilitado
240402,359669,17570,habilitado
240403,188536,4223,habilitado
240404,407585,8920,habilitado
240405,450258,2545,deshabilitado
240406,415144,2364,habilitado
240407,444861,18973,habilitado
240408,184739,6274,deshabilitado
240409,461504,1787,deshabilitado
240410,389992,10622,habilitado
240411,324036,2435,deshabilitado
240412,178758,12603,deshabilitado
240413,370365,17423,habilitado
240414,387076,2736,deshabilitado
240415,58851,18137,deshabilitado
240416,389655,5172,habilitado
240417,25863,11722,habilitado
240418,292383,4084,deshabilitado
240419,479349,827,habilitado
240420,186024,1652,habilitado
240421,427358,15778,habilitado
240422,229767,9355,deshabilitado
240423,96939,12207,deshabilitado
240424,416205,2531,deshabilitado
240425,451397,19102,habilitado
240426,18516,18521,deshabilitado
240427,121460,953,habilitado
240428,461716,15317,deshabilitado
240429,479901,14332,deshabilitado
240430,422049,2501,deshabilitado
240431,239331,6241,habilitado
240432,245267,13591,deshabilitado
240433,254807,143,deshabilitado
240434,211255,15900,habilitado
240435,202664,12247,habilitado
240436,174599,18418,deshabilitado
240437,167382,17426,deshabilitado
240438,327912,10182,habilitado
240439,224748,12629,deshabilitado
240440,365356,13107,habilitado
240441,254733,9910,deshabilitado
240442,158542,13993,habilitado
240443,487586,16115,deshabilitado
240444,298954,19930,deshabilitado
240445,180593,11499,habilitado
240446,287018,13857,habilitado
240447,63233,4754,habilitado
240448,329473,17778,deshabilitado
240449,351910,10750,deshabilitado
240450,8415,1758,deshabilitado
240451,229821,19576,habilitado
240452,449850,19414,habilitado
240453,394979,6361,habilitado
240454,256864,4277,habilitado
240455,10348,132,deshabilitado
240456,35105,8255,deshabilitado
240457,122884,19457,habilitado
240458,492989,11103,habilitado
240459,450384,19965,habilitado
240460,96022,5442,habilitado
240461,79456,1715,deshabilitado
240462,489681,9366,deshabilitado
240463,82644,13366,deshabilitado
240464,276493,7213,habilitado
240465,398259,10394,deshabilitado
240466,275631,11209,deshabilitado
240467,424180,2159,habilitado
240468,399014,4178,deshabilitado
240469,382452,3999,deshabilitado
240470,89548,8664,habilitado
240471,145118,1046,habilitado
240472,374322,8627,habilitado
240473,264041,18366,habilitado
240474,425160,14054,deshabilitado
240475,155536,3983,deshabilitado
240476,195996,1686,deshabilitado
240477,381213,13010,habilitado
240478,5851,7213,habilitado
240479,140170,18981,habilitado
240480,108647,13821,deshabilitado
240481,431043,4243,habilitado
240482,74579,16701,habilitado
240483,128528,1954,deshabilitado
240484,352350,12745,deshabilitado
240485,441121,5,habilitado
240486,238810,11363,habilitado
240487,225297,18562,habilitado
240488,237485,14283,habilitado
240489,420551,18409,deshabilitado
240490,455921,15680,deshabilitado
240491,295037,6012,deshabilitado
240492,189205,432,deshabilitado
240493,94698,8730,deshabilitado
240494,259031,13006,deshabilitado
240495,312796,17321,deshabilitado
240496,16840,6140,deshabilitado
240497,263236,17798,habilitado
240498,359741,3050,deshabilitado
240499,256567,15961,habilitado
240500,81444,15852,deshabilitado
240501,230400,13464,habilitado
240502,437726,11211,habilitado
240503,463151,11125,deshabilitado
240504,193354,2261,deshabilitado
240505,369582,11357,deshabilitado
240506,478886,13501,deshabilitado
240507,346545,9025,deshabilitado
240508,6427,4795,deshabilitado
240509,155614,2599,deshabilitado
240510,309665,1598,deshabilitado
240511,362183,3084,deshabilitado
240512,132971,5699,habilitado
240513,415430,10952,habilitado
240514,498945,9467,habilitado
240515,291690,10787,habilitado
240516,284651,14060,habilitado
240517,398613,3834,habilitado
240518,379969,4763,deshabilitado
240519,481001,7969,habilitado
240520,347458,9269,habilitado
240521,407294,4326,deshabilitado
240522,437551,12250,deshabilitado
240523,168353,18782,habilitado
240524,168134,3498,deshabilitado
240525,11497,17130,habilitado
240526,217132,2378,deshabilitado
240527,58469,8035,habilitado
240528,450189,10251,habilitado
240529,6362,1739,deshabilitado
240530,70161,4480,deshabilitado
240531,94313,8209,deshabilitado
240532,122310,14780,habilitado
240533,236284,8834,habilitado
240534,19580,8642,habilitado
240535,183688,15503,habilitado
240536,375797,14052,habilitado
240537,17813,13219,deshabilitado
240538,251324,12000,deshabilitado
240539,324755,13192,habilitado
240540,270737,3254,habilitado
240541,314210,12273,habilitado
240542,116163,3315,habilitado
240543,265297,14232,habilitado
240544,356103,19187,habilitado
240545,232732,72,habilitado
240546,465222,3688,habilitado
240547,41486,15886,habilitado
240548,417821,10523,habilitado
240549,17985,8543,habilitado
240550,300571,467,habilitado
240551,260367,7772,habilitado
240552,496199,3262,deshabilitado
240553,431260,7595,habilitado
240554,37970,10173,deshabilitado
240555,268377,7495,habilitado
240556,388387,14997,habilitado
240557,78755,14368,deshabilitado
240558,483799,2363,deshabilitado
240559,64338,5063,habilitado
240560,328340,18822,habilitado
240561,295767,12042,deshabilitado
240562,65712,4057,deshabilitado
240563,326532,19883,deshabilitado
240564,395618,10320,deshabilitado
240565,26582,9028,habilitado
240566,366364,11658,habilitado
240567,490638,13707,deshabilitado
240568,33162,15444,habilitado
240569,261056,19386,habilitado
240570,150687,16250,habilitado
240571,153089,7685,deshabilitado
240572,54748,12087,habilitado
240573,360592,15496,deshabilitado
240574,314487,10866,habilitado
240575,3195,5151,deshabilitado
240576,134400,3449,deshabilitado
240577,135688,4277,deshabilitado
240578,26416,18464,deshabilitado
240579,283341,5249,habilitado
240580,143975,4313,deshabilitado
240581,212109,8331,deshabilitado
240582,179310,19330,habilitado
240583,92918,14066,habilitado
240584,400674,12616,deshabilitado
240585,203614,18249,habilitado
240586,156319,15520,habilitado
240587,189019,19922,deshabilitado
240588,68417,10715,deshabilitado
240589,431133,14493,habilitado
240590,230309,12765,deshabilitado
240591,337963,8182,deshabilitado
240592,116796,17866,deshabilitado
240593,388580,4999,habilitado
240594,31458,17428,deshabilitado
240595,60826,18984,deshabilitado
240596,133445,5588,habilitado
240597,24476,13931,deshabilitado
240598,366025,7292,habilitado
240599,71417,16272,deshabilitado
240600,159679,10195,habilitado
240601,488467,9240,deshabilitado
240602,221398,6222,habilitado
240603,351826,601,habilitado
240604,140812,19597,deshabilitado
240605,445162,13379,habilitado
240606,382451,12452,habilitado
240607,429494,13351,deshabilitado
240608,353848,15810,deshabilitado
240609,108942,13993,deshabilitado
240610,152939,11318,deshabilitado
240611,409733,11577,deshabilitado
240612,85939,10631,habilitado
240613,476050,12610,deshabilitado
240614,190279,1121,habilitado
240615,366688,4684,habilitado
240616,169558,3933,deshabilitado
240617,110640,18673,deshabilitado
240618,186517,6210,deshabilitado
240619,33698,8035,habilitado
240620,116882,14044,deshabilitado
240621,406059,4106,deshabilitado
240622,372584,7413,habilitado
240623,65038,5225,deshabilitado
240624,251271,11805,habilitado
240625,267422,12005,deshabilitado
240626,147765,1065,habilitado
240627,3677,8172,deshabilitado
240628,51862,10151,habilitado
240629,258463,17170,habilitado
240630,241143,6600,deshabilitado
240631,337934,17428,habilitado
240632,481513,13841,deshabilitado
240633,150246,8826,deshabilitado
240634,324141,1750,deshabilitado
240635,10433,7541,habilitado
240636,169724,14391,deshabilitado
240637,370946,4874,deshabilitado
240638,436416,13211,deshabilitado
240639,66027,5697,deshabilitado
240640,361939,7991,habilitado
240641,453238,232,habilitado
240642,254206,6309,deshabilitado
240643,360606,16598,habilitado
240644,434127,15419,habilitado
240645,105147,5229,deshabilitado
240646,353578,13684,habilitado
240647,470859,4579,habilitado
240648,278210,2446,habilitado
240649,378641,8445,habilitado
240650,410007,11697,deshabilitado
240651,144332,19969,deshabilitado
240652,242860,5255,deshabilitado
240653,127190,7328,habilitado
240654,434613,17765,deshabilitado
240655,196239,13508,deshabilitado
240656,102785,7562,deshabilitado
240657,101054,461,deshabilitado
240658,443518,19450,deshabilitado
240659,195221,7931,habilitado
240660,127580,14640,deshabilitado
240661,426402,14143,habilitado
240662,74104,13851,deshabilitado
240663,81776,17657,deshabilitado
240664,410316,4076,habilitado
240665,9839,1691,deshabilitado
240666,364594,3820,deshabilitado
240667,359691,5374,habilitado
240668,22788,3610,habilitado
240669,254915,7784,deshabilitado
240670,17660,17310,deshabilitado
240671,159645,4764,deshabilitado
240672,5647,7226,habilitado
240673,481220,10386,habilitado
240674,61405,8479,habilitado
240675,362580,15052,habilitado
240676,492248,18382,habilitado
240677,198731,2244,deshabilitado
240678,48651,16881,habilitado
240679,348109,9943,habilitado
240680,286353,16977,deshabilitado
240681,109280,14215,deshabilitado
240682,270569,10756,habilitado
240683,373631,4850,habilitado
240684,395213,6204,deshabilitado
240685,499173,17976,deshabilitado
240686,73835,18131,deshabilitado
240687,349336,17883,habilitado
240688,110405,12268,habilitado
240689,427977,4767,deshabilitado
240690,403378,11179,deshabilitado
240691,481227,10709,deshabilitado
240692,3552,11408,habilitado
240693,498204,19601,deshabilitado
240694,338736,11990,deshabilitado
240695,212208,8350,deshabilitado
240696,57048,3997,habilitado
240697,496221,11272,deshabilitado
240698,277164,14200,deshabilitado
240699,430927,8097,habilitado
240700,46259,950,deshabilitado
240701,425591,10790,deshabilitado
240702,353342,2756,habilitado
240703,147947,12123,habilitado
240704,176552,14538,deshabilitado
240705,214177,13008,deshabilitado
240706,402581,17570,habilitado
240707,17823,7769,deshabilitado
240708,38161,14834,deshabilitado
240709,216862,5286,habilitado
240710,359063,9313,deshabilitado
240711,59587,19780,habilitado
240712,85525,5226,habilitado
240713,206993,14991,deshabilitado
240714,150712,17682,habilitado
240715,216790,16010,deshabilitado
240716,486832,14266,deshabilitado
240717,220716,4517,habilitado
240718,139937,1652,deshabilitado
240719,71295,8165,habilitado
240720,61461,11033,habilitado
240721,265389,4903,deshabilitado
240722,482612,16467,deshabilitado
240723,158873,11458,habilitado
240724,294096,3443,habilitado
240725,1821,7831,habilitado
240726,77455,8223,habilitado
240727,357905,2630,deshabilitado
240728,161295,19181,habilitado
240729,456774,19020,deshabilitado
240730,231927,8863,habilitado
240731,255502,9719,habilitado
240732,472350,16908,habilitado
240733,331146,19807,habilitado
240734,257282,13613,habilitado
240735,413779,16640,habilitado
240736,435130,12440,habilitado
240737,3160,6073,habilitado
240738,132102,14081,deshabilitado
240739,474126,18634,habilitado
240740,108876,1040,deshabilitado
240741,377723,16672,habilitado
240742,245683,12580,habilitado
240743,60043,13536,habilitado
240744,408064,8250,habilitado
240745,343646,16052,habilitado
240746,32681,5502,habilitado
240747,315934,8581,habilitado
240748,378923,7480,deshabilitado
240749,402938,7828,habilitado
240750,405651,14525,habilitado
240751,444337,8950,habilitado
240752,108970,10020,deshabilitado
240753,189236,1173,deshabilitado
240754,483420,19714,deshabilitado
240755,353149,5537,habilitado
240756,182450,19976,deshabilitado
240757,486900,5494,deshabilitado
240758,481287,17326,deshabilitado
240759,37887,5652,deshabilitado
240760,491946,6926,habilitado
240761,218198,12394,deshabilitado
240762,128344,16783,deshabilitado
240763,315325,11928,habilitado
240764,74979,17976,deshabilitado
240765,364754,7233,deshabilitado
240766,65305,6996,deshabilitado
240767,406331,17295,deshabilitado
240768,336685,18726,deshabilitado
240769,157303,4887,deshabilitado
240770,155023,19977,deshabilitado
240771,301799,6886,habilitado
240772,210787,16345,habilitado
240773,223405,19217,habilitado
240774,189888,3249,deshabilitado
240775,220436,5192,deshabilitado
240776,449139,19274,habilitado
240777,388028,6163,deshabilitado
240778,348434,6967,deshabilitado
240779,479369,2236,habilitado
240780,217066,11340,deshabilitado
240781,447023,10741,deshabilitado
240782,363347,11966,deshabilitado
240783,121864,6356,deshabilitado
240784,122815,13034,deshabilitado
240785,126434,2486,deshabilitado
240786,319782,11908,habilitado
240787,76203,15846,deshabilitado
240788,84924,6578,habilitado
240789,46931,17367,deshabilitado
240790,71180,8887,deshabilitado
240791,438069,167,deshabilitado
240792,46036,5891,deshabilitado
240793,161104,9332,habilitado
240794,217291,1742,habilitado
240795,115508,12197,deshabilitado
240796,291849,15403,habilitado
240797,395544,12238,habilitado
240798,416128,12169,habilitado
240799,459431,16066,deshabilitado
240800,358311,2407,habilitado
240801,452978,15412,habilitado
240802,457583,14531,habilitado
240803,7480,3131,habilitado
240804,404524,15311,deshabilitado
240805,188838,14889,habilitado
240806,427895,2522,habilitado
240807,421169,7545,habilitado
240808,456654,9230,deshabilitado
240809,369294,13382,habilitado
240810,450082,880,deshabilitado
240811,340047,14476,habilitado
240812,145483,15026,habilitado
240813,204746,18020,habilitado
240814,98467,3252,deshabilitado
240815,206284,16112,deshabilitado
240816,16661,12395,habilitado
240817,361118,6769,deshabilitado
240818,451500,6475,habilitado
240819,473040,4080,deshabilitado
240820,100683,15366,habilitado
240821,68633,6453,habilitado
240822,391744,14899,deshabilitado
240823,263169,537,deshabilitado
240824,329120,10566,deshabilitado
240825,102527,16387,deshabilitado
240826,169769,9259,habilitado
240827,424004,3710,habilitado
240828,245117,11571,deshabilitado
240829,270190,6334,deshabilitado
240830,454774,15585,habilitado
240831,62847,2927,habilitado
240832,130868,17739,habilitado
240833,476149,8564,habilitado
240834,435679,6069,deshabilitado
240835,117769,9057,habilitado
240836,454755,19595,deshabilitado
240837,361233,14651,deshabilitado
240838,203748,1281,habilitado
240839,499102,259,habilitado
240840,353605,17945,habilitado
240841,395329,7423,habilitado
240842,330367,8723,habilitado
240843,31243,4046,deshabilitado
240844,467539,9227,deshabilitado
240845,204170,10665,deshabilitado
240846,260180,3966,habilitado
240847,316599,13216,deshabilitado
240848,133572,19988,habilitado
240849,70958,14134,deshabilitado
240850,202238,12360,habilitado
240851,124804,18249,deshabilitado
240852,94050,18872,habilitado
240853,61361,8633,deshabilitado
240854,426594,19856,deshabilitado
240855,133318,14997,deshabilitado
240856,242574,15627,deshabilitado
240857,131557,17264,habilitado
240858,82402,14145,deshabilitado
240859,256019,17030,deshabilitado
240860,447716,18292,habilitado
240861,198793,1908,habilitado
240862,164355,15825,deshabilitado
240863,4465,1563,deshabilitado
240864,310352,7820,deshabilitado
240865,153023,3460,habilitado
240866,136981,3094,habilitado
240867,242314,4160,habilitado
240868,112887,9967,deshabilitado
240869,21321,479,habilitado
240870,401181,10768,deshabilitado
240871,362704,13754,deshabilitado
240872,132177,2250,habilitado
240873,160299,8011,deshabilitado
240874,45399,3031,deshabilitado
240875,382284,5402,habilitado
240876,221636,774,deshabilitado
240877,21641,13837,deshabilitado
240878,411471,9734,deshabilitado
240879,93801,11115,habilitado
240880,26731,4288,habilitado
240881,377759,7790,deshabilitado
240882,27594,13083,habilitado
240883,125734,19709,deshabilitado
240884,339735,7751,deshabilitado
240885,180454,4121,deshabilitado
240886,283940,4603,deshabilitado
240887,372852,15598,habilitado
240888,53828,10872,deshabilitado
240889,396732,17231,habilitado
240890,177705,4086,deshabilitado
240891,144289,3357,habilitado
240892,329649,18598,habilitado
240893,371631,15753,habilitado
240894,370910,13810,deshabilitado
240895,92004,1036,habilitado
240896,275206,7303,deshabilitado
240897,268104,18709,habilitado
240898,321308,19763,habilitado
240899,85246,18157,deshabilitado
240900,238718,12891,deshabilitado
240901,163991,6464,habilitado
240902,208142,18313,habilitado
240903,181602,15173,deshabilitado
240904,442032,577,deshabilitado
240905,101965,5230,habilitado
240906,278082,14016,deshabilitado
240907,362896,10151,deshabilitado
240908,319733,12459,habilitado
240909,114170,12476,deshabilitado
240910,246465,11085,deshabilitado
240911,290381,14611,deshabilitado
240912,43542,17591,deshabilitado
240913,44781,8612,deshabilitado
240914,158031,13156,habilitado
240915,302891,10889,deshabilitado
240916,69059,12273,habilitado
240917,264074,10756,deshabilitado
240918,30798,10941,habilitado
240919,340210,12410,deshabilitado
240920,195235,9594,deshabilitado
240921,300403,15766,deshabilitado
240922,44338,2274,deshabilitado
240923,460200,12810,deshabilitado
240924,44647,13658,deshabilitado
240925,391200,18923,habilitado
240926,319333,10876,habilitado
240927,180819,8883,deshabilitado
240928,106862,19421,deshabilitado
240929,164271,8184,deshabilitado
240930,122822,12639,habilitado
240931,155493,4671,habilitado
