ID,NUM_HABITACIONES,DIRECCION,MENSAJE,PRECIO,EVENTO
400179,20,Cosdor Glen,null,7107766,12637
400180,18,Uvujew Terrace,null,9938511,16118
400181,15,Kozi Grove,null,1301809,3396
400182,30,Eskog Parkway,null,7860135,34222
400183,19,Kuwa Way,null,1859998,21433
400184,25,Tiksek River,null,4500511,49802
400185,19,Sabku Parkway,null,1444568,41057
400186,15,Capmo Circle,null,6047504,42936
400187,20,Duine Turnpike,null,7215116,42000
400188,15,Rinzuf Junction,null,9601765,28460
400189,15,Tawit River,null,7925511,42455
400190,18,Vebze Boulevard,null,8118137,28519
400191,18,Copoc Square,null,9483057,39924
400192,29,Gamo Highway,null,6178536,19934
400193,30,Nawmi Circle,null,3358359,14361
400194,16,Pikag Key,null,5704977,21686
400195,17,Udpew Road,null,3638732,38234
400196,20,Edika Extension,null,1362139,42572
400197,16,Radgas Pass,null,8587484,21637
400198,29,Tuer Path,null,9533126,8207
400199,18,Tikik View,null,2404952,28360
400200,16,Iroahe Terrace,null,9357697,13858
400201,29,Imapit Park,null,2769202,5255
400202,18,Izouga Avenue,null,3715104,24904
400203,16,Pefteg Place,null,218570,40241
400204,17,Fosjeb Heights,null,3225565,23196
400205,17,Newrap Key,null,2535346,40133
400206,17,Conda Street,null,9674849,40935
400207,25,Nonpuk Boulevard,null,7888867,19331
400208,19,Asjo Drive,null,6108467,19457
400209,18,Cupcah Extension,null,1018196,46417
400210,20,Ceta Boulevard,null,2641966,47490
400211,15,Gahpe Road,null,1025692,35453
400212,19,Tahnas Manor,null,7569560,7657
400213,17,Sevhij Place,null,5405922,36491
400214,19,Kole Circle,null,7835386,41790
400215,25,Lundod Heights,null,7978397,41822
400216,17,Jituk Grove,null,522010,7978
400217,15,Figfo Path,null,4076802,44608
400218,17,Aduig Drive,null,6975552,42547
400219,15,Douk Point,null,7829463,5753
400220,20,Zolow Key,null,4654885,24972
400221,18,Zawgoh Key,null,4465652,49155
400222,15,Livecu Square,null,9870417,35883
400223,18,Ehsal River,null,7439665,20739
400224,16,Ohbi Way,null,7237667,44942
400225,18,Ahidi Loop,null,6545090,6740
400226,30,Jaeh Park,null,8122559,34543
400227,17,Vucor Park,null,8413891,23278
400228,30,Ebsu Plaza,null,3554253,32039
400229,17,Loduw Circle,null,1095527,39302
400230,19,Ziznu Center,null,9604574,34884
400231,16,Nici Terrace,null,8299531,29677
400232,16,Gidta Court,null,6055918,42437
400233,19,Iwega Path,null,6962857,16546
400234,30,Otra Court,null,2273688,11192
400235,17,Apisob Key,null,4200316,17910
400236,25,Cuhi Heights,null,1701699,24990
400237,17,Cujet Park,null,2541544,36995
400238,18,Wupca Terrace,null,395527,38813
400239,20,Tesca Park,null,9193246,27348
400240,29,Vise Loop,null,6600706,7065
400241,17,Ujike Point,null,6242969,2486
400242,17,Ozoir Street,null,2634462,19215
400243,15,Hunwi Center,null,8542039,15574
400244,30,Nafoh Center,null,6776493,39527
400245,25,Ucmon Manor,null,291666,31127
400246,16,Rubge Circle,null,7146599,36362
400247,18,Kutu Trail,null,201772,33035
400248,16,Kipev Plaza,null,664076,15542
400249,20,Muke Manor,null,6375623,1853
400250,19,Wias Trail,null,2969067,15773
400251,16,Vabi Drive,null,4035274,36535
400252,30,Larize Key,null,968373,38408
400253,19,Liccid Key,null,7287964,3238
400254,20,Bognen Place,null,2656723,8900
400255,18,Bieb Avenue,null,5118363,7135
400256,16,Mogda Drive,null,8895170,13673
400257,16,Zilcuv Pass,null,2546612,12331
400258,25,Fabo Turnpike,null,875865,15331
400259,17,Gawdif Mill,null,1759728,36720
400260,16,Ucis Parkway,null,3761479,5265
400261,29,Apas Road,null,5106058,45421
400262,17,Gurki Court,null,2498036,45897
400263,15,Tasko Extension,null,4924780,30877
400264,29,Jolna Court,null,6298247,23359
400265,25,Nucip River,null,9768826,38668
400266,17,Harge Highway,null,2734073,7442
400267,29,Nuttu Terrace,null,1010150,12651
400268,30,Suhoc Key,null,893568,35145
400269,18,Uviva Terrace,null,4540621,11628
400270,19,Fagon Heights,null,884753,7848
400271,17,Misag Parkway,null,2124770,2309
400272,16,Ivehug Junction,null,1095584,16755
400273,19,Fetu Manor,null,9267505,19055
400274,25,Utelez Way,null,4785228,1338
400275,18,Nofok Plaza,null,745773,4170
400276,15,Duhhuw Way,null,7013827,2354
400277,17,Acugop Way,null,2891682,1292
400278,18,Nadi Key,null,4198304,21906
400279,20,Niha Plaza,null,3898857,38676
400280,18,Buoru Lane,null,4460054,36555
400281,25,Ekabi Mill,null,8315714,39381
400282,30,Dezo Key,null,3407732,44339
400283,18,Maese Park,null,2420827,44130
400284,16,Tidkec Highway,null,9161911,36069
400285,16,Melu Manor,null,529201,13947
400286,17,Duzer Boulevard,null,5824950,27166
400287,30,Ukija Turnpike,null,3899891,43421
400288,30,Awave Drive,null,9344028,24388
400289,20,Adilu Manor,null,3113211,48941
400290,16,Wicve Mill,null,6099554,19672
400291,18,Juak Drive,null,3820735,21975
400292,20,Tonsuw Grove,null,7941056,44846
400293,16,Coco Terrace,null,1240284,25244
400294,16,Vezuz Circle,null,6491706,1778
400295,17,Ohbo Key,null,3515412,9282
400296,25,Caema Glen,null,6549769,41003
400297,30,Oruop Plaza,null,5642503,11192
400298,30,Jefeh Boulevard,null,8010089,38245
400299,16,Vemu Plaza,null,5360043,45966
400300,20,Seuwo Avenue,null,8591389,31999
400301,25,Icjuz Highway,null,2640550,2919
400302,30,Sutim Road,null,7410249,15559
400303,16,Deewo Extension,null,3538245,19370
400304,19,Kovge Plaza,null,9103828,42914
400305,17,Sofki Road,null,2089203,35262
400306,20,Zumjuz Lane,null,4944338,20496
400307,17,Lihu Road,null,9616936,48927
400308,16,Wame Pike,null,1820965,12934
400309,18,Ocolo Circle,null,7753894,27935
400310,25,Jifegu Path,null,6781811,41239
400311,17,Revvi Key,null,7638184,499
400312,20,Obiopo Path,null,912070,30678
400313,19,Aditu Turnpike,null,7054075,21398
400314,16,Gafug Heights,null,8051807,43121
400315,18,Ribog View,null,2291619,47753
400316,29,Jead Pike,null,116378,31001
400317,19,Judu Key,null,4582070,44518
400318,25,Rutha Manor,null,3940199,6251
400319,17,Ripe Mill,null,8558426,20513
400320,25,Riil Place,null,7916846,6597
400321,19,Wuvud Glen,null,8304857,8982
400322,15,Cina Lane,null,2332380,28300
400323,30,Fodkeh Plaza,null,7785524,27224
400324,25,Kukkaf Turnpike,null,9906023,3541
400325,19,Fokuk Avenue,null,2980474,15663
400326,16,Zijju Grove,null,9132418,16998
400327,30,Dufpu Terrace,null,5577680,26801
400328,25,Rahe Circle,null,9371985,34048
400329,30,Egozu Way,null,1435785,16817
400330,29,Fildog Point,null,1457967,24599
400331,17,Vestab Place,null,4773137,35509
400332,19,Jecku Pass,null,7927368,22654
400333,17,Zipme Plaza,null,4028771,45378
400334,18,Fajna Square,null,2382768,46694
400335,15,Kerguf Lane,null,5481834,14570
400336,16,Jolaba Terrace,null,5357702,5934
400337,17,Hute View,null,1580421,12676
400338,16,Ukomu Parkway,null,4292727,29273
400339,30,Suiho Key,null,1381071,35687
400340,29,Tosne Terrace,null,9568523,19234
400341,30,Vatzu Center,null,9783328,43887
400342,17,Gina Circle,null,2705963,25857
400343,15,Zojen Center,null,3935583,10630
400344,25,Bocsip Center,null,2387830,49234
400345,15,Kewfi Key,null,596669,34002
400346,19,Siheba Heights,null,3185653,47812
400347,17,Udfir Grove,null,273369,9975
400348,30,Ifaola Center,null,3805558,35147
400349,19,Zooji Avenue,null,7217634,14098
400350,15,Satu Manor,null,2595814,11264
400351,30,Diksub Park,null,7126940,47287
400352,29,Ihece Path,null,8290109,49617
400353,17,Afepu Plaza,null,6887688,34988
400354,29,Nefub Junction,null,4043006,37413
400355,16,Tijsij Turnpike,null,401861,31043
400356,20,Ruce Mill,null,7770570,36703
400357,17,Fihu Terrace,null,6731380,27876
400358,16,Mudom Point,null,716251,14805
400359,18,Kuwaf Terrace,null,3852170,36925
400360,17,Fataz Junction,null,5337613,6210
400361,20,Zuuwi Lane,null,3739367,20335
400362,20,Ununi Terrace,null,7073239,29336
400363,18,Dapbir Glen,null,1547911,9786
400364,16,Bareb View,null,4630414,17303
400365,18,Masuz Circle,null,9434269,2653
400366,16,Huir Junction,null,4617227,43367
400367,29,Safi Way,null,4665210,27016
400368,16,Ecoup Park,null,4041370,32022
400369,17,Owic Loop,null,3137696,12302
400370,25,Oriwak Court,null,7017675,26314
400371,15,Sevbem Pike,null,1372073,31770
400372,19,Apedeb Drive,null,2344024,1769
400373,17,Doboh Circle,null,7484112,18243
400374,17,Lifim Trail,null,3107765,13700
400375,29,Reul View,null,9807914,41600
400376,15,Sowje Key,null,1410681,8330
400377,15,Girvu River,null,1804764,28499
400378,16,Egohed Key,null,7776926,26005
400379,18,Gulvig Mill,null,4528801,43882
400380,25,Cajor Avenue,null,4980079,579
400381,25,Ajrow Avenue,null,6923276,15360
400382,18,Hojwi Terrace,null,4800964,28324
400383,29,Faga Manor,null,9087877,30045
400384,20,Wocuc River,null,6248023,5507
400385,16,Kies Center,null,1974720,43692
400386,16,Fuegu Circle,null,4103929,20929
400387,29,Tegwe Path,null,2491421,4245
400388,30,Kojdu Key,null,6982940,12662
400389,18,Jinmeh Ridge,null,3229858,29615
400390,17,Nowfe Grove,null,4606012,13638
400391,16,Eroane Heights,null,8567542,31740
400392,17,Roduv Ridge,null,3836416,27875
400393,18,Wogsoj Road,null,1701867,2458
400394,29,Nuol Junction,null,955940,29340
400395,17,Fomow Highway,null,1477020,29597
400396,16,Gahbo Ridge,null,832455,14073
400397,19,Ibcud Trail,null,2819153,24338
400398,16,Rezgil Center,null,9546910,34357
400399,18,Tugow Point,null,4493371,11779
400400,25,Cudgac Boulevard,null,5604551,807
400401,17,Diga Park,null,1971441,47949
400402,25,Niiwa Parkway,null,4694679,45435
400403,17,Ofuola Mill,null,9773027,39294
400404,17,Tuvu Park,null,4603217,6033
400405,30,Movi Mill,null,2786836,47143
400406,15,Ecowoh Plaza,null,4327525,10045
400407,17,Omoni Square,null,2669840,11424
400408,15,Jemuf Point,null,5030626,5858
400409,25,Fezwa Highway,null,1140512,40581
400410,29,Vihad View,null,127350,28979
400411,20,Mikti Junction,null,6502317,44602
400412,25,Dujsim Court,null,1117221,1735
400413,20,Cocen Pass,null,8157572,42211
400414,15,Kinbuk River,null,5769473,37665
400415,20,Cave Plaza,null,9633103,29288
400416,17,Coaj Drive,null,2975197,39602
400417,19,Vufta Square,null,3408093,39148
400418,25,Wefran Point,null,3430419,10096
400419,30,Riapa Point,null,6386819,26199
400420,29,Tepcop Key,null,3539770,32589
400421,20,Tibe Drive,null,76584,30106
400422,19,Bukdof Loop,null,7228326,5103
400423,18,Tejid Manor,null,7021894,33541
400424,16,Zimca Center,null,3212657,33593
400425,17,Umduc Circle,null,1871840,27709
400426,15,Cabe Park,null,5141041,48160
400427,30,Kuur Loop,null,3472825,26289
400428,30,Vodbi Pike,null,4750407,26625
400429,16,Riwhi Point,null,1387612,44850
400430,18,Zisrub Avenue,null,6427107,34145
400431,19,Voptar Parkway,null,6218045,28774
400432,29,Amdo Center,null,5261170,11265
400433,25,Jaigo Pass,null,5832747,9516
400434,15,Pazmo Pike,null,1623320,20850
400435,29,Zulep Path,null,6808441,33117
400436,17,Ajave Loop,null,7016739,41862
400437,19,Fegne Plaza,null,7955371,38177
400438,19,Dugus Street,null,4743195,723
400439,15,Magusu Pass,null,4791929,44163
400440,17,Kimpuv Ridge,null,6248409,39580
400441,29,Jiiw Drive,null,9777547,29145
400442,16,Eduvi Extension,null,4464463,30045
400443,18,Hipjo Pass,null,6139011,6878
400444,30,Gidho Place,null,5312012,3932
400445,20,Feet Court,null,7110827,28988
400446,19,Nedof Plaza,null,3215798,15724
400447,30,Vohuf View,null,1723100,3278
400448,25,Cenasu Point,null,5702205,36523
400449,25,Leon Court,null,7606905,46832
400450,29,Hagit Heights,null,6165325,12304
400451,29,Telsuz Mill,null,6949112,46130
400452,29,Raha Place,null,4391618,37626
400453,18,Caduz Heights,null,6032289,36083
400454,17,Ropa Place,null,9798672,29858
400455,15,Piam Street,null,144525,2397
400456,29,Pibgil Parkway,null,6693683,19081
400457,20,Fulav Road,null,5161605,45465
400458,19,Vekvu Turnpike,null,2859250,42172
400459,15,Azciv Boulevard,null,6755936,4172
400460,18,Jingas Road,null,6491727,28632
400461,30,Vaiki Place,null,7949480,20741
400462,25,Wefew Boulevard,null,1881787,46103
400463,25,Tusuj Loop,null,9646598,13616
400464,15,Ifkan River,null,4991246,22188
400465,16,Juwan Pass,null,5058422,14764
400466,30,Pelmik Court,null,9351926,38834
400467,29,Atebe Path,null,8117197,38511
400468,17,Dalaco Terrace,null,300540,45896
400469,30,Jabi Path,null,1640210,10760
400470,25,Musuko Heights,null,1138011,8774
400471,15,Evome Lane,null,9118352,11027
400472,15,Woswat Grove,null,258993,19133
400473,29,Huho Trail,null,8516628,35890
400474,25,Tekic Pass,null,5406805,42233
400475,16,Ruko Glen,null,8767202,46137
400476,18,Feepi Circle,null,7183865,44495
400477,20,Vozin Mill,null,1887715,11690
400478,29,Jotor Plaza,null,7475625,37616
400479,20,Nevos Avenue,null,9286029,6147
400480,17,Fulte View,null,9975228,2360
400481,25,Nonos Highway,null,6671947,223
400482,30,Ulvi Point,null,9166508,18263
400483,30,Wajso Junction,null,1580534,39961
400484,17,Izba Circle,null,8380283,17382
400485,16,Rocre Parkway,null,8915399,33329
400486,17,Tamoh River,null,2020965,34167
400487,17,Kiegi Trail,null,1214421,13616
400488,25,Dude Mill,null,1618628,15791
400489,25,Cuob Terrace,null,8688879,45539
400490,20,Mutcom Mill,null,5703829,32592
400491,18,Umvul Drive,null,8173358,35276
400492,25,Mupvaf Pass,null,3864013,7810
400493,30,Bercis Lane,null,932758,25609
400494,19,Omofac Key,null,8070864,6708
400495,25,Masen Avenue,null,2426035,11317
400496,17,Kijdo Turnpike,null,8672436,14644
400497,20,Gecpuj Drive,null,1499307,17254
400498,17,Sabo Plaza,null,840458,29409
400499,19,Midob Extension,null,534988,14265
400500,20,Devoh Extension,null,7100492,30167
400501,25,Elci Lane,null,7478559,1812
400502,29,Sobi Path,null,2344297,10467
400503,29,Gaeg Square,null,4593972,7252
400504,18,Wefe Way,null,1399611,12363
400505,29,Vove Court,null,6846152,26970
400506,16,Pevik Plaza,null,6427494,22036
400507,29,Sopigu Grove,null,6201285,37562
400508,29,Ifnok Manor,null,3581215,14222
400509,15,Dohiz Junction,null,7452385,32860
400510,19,Urnu Highway,null,8530111,33809
400511,17,Wosi Turnpike,null,345517,13106
400512,25,Juro Lane,null,6921860,47352
400513,17,Pihtu Avenue,null,5431944,2557
400514,29,Lobo Boulevard,null,7821509,12295
400515,18,Arwan View,null,2071106,31719
400516,19,Fiug River,null,6570007,40868
400517,17,Zivor Square,null,2668273,27841
400518,19,Icuako Turnpike,null,4104117,33016
400519,30,Muvfag Plaza,null,8016634,31520
400520,30,Ihom Ridge,null,1726199,26926
400521,29,Mophe Boulevard,null,802139,41374
400522,25,Riznu Pike,null,7791515,23201
400523,29,Owlem Street,null,2613427,187
400524,16,Bojkem Mill,null,8494375,46087
400525,20,Evcu Terrace,null,2871736,4601
400526,20,Entas Park,null,7771492,28594
400527,17,Horset Drive,null,9315710,29641
400528,18,Rotir Grove,null,2919243,38708
400529,25,Cemceg River,null,6925881,30270
400530,20,Somjuj Highway,null,9940968,37642
400531,15,Bopuv Way,null,7242909,18961
400532,18,Muma Heights,null,244627,30489
400533,25,Vame River,null,7889859,39581
400534,25,Nutug Path,null,7443572,25368
400535,16,Seuri Path,null,8918201,6638
400536,15,Larco Square,null,6503899,9885
400537,17,Gugef Grove,null,3411817,16006
400538,15,Miwes Road,null,901095,43158
400539,30,Nihuc Heights,null,8213656,49338
400540,15,Vipe Loop,null,7887796,46338
400541,20,Zevnef River,null,4466796,28216
400542,19,Nukze Avenue,null,3996599,33987
400543,30,Womob Place,null,6248114,5148
400544,19,Dahe Way,null,4477074,16909
400545,30,Jopca Mill,null,3968011,39982
400546,19,Casaj Mill,null,9314889,9718
400547,25,Zivkul Court,null,4642086,30927
400548,16,Cuavo Manor,null,4833694,43936
400549,30,Wapso Lane,null,2250621,20089
400550,16,Doki Pike,null,6051489,14460
400551,30,Ricma Point,null,6240693,14205
400552,19,Hakupa Center,null,8128160,41138
400553,30,Zusi Road,null,6292395,4107
400554,25,Hedip Avenue,null,3168349,7881
400555,25,Pawe Highway,null,6009936,27463
400556,19,Duen Place,null,8654505,854
400557,30,Page Point,null,5536703,11231
400558,19,Mobi Way,null,8767667,29510
400559,18,Wozoj Grove,null,8646120,7639
400560,30,Firuc Path,null,6394910,24328
400561,17,Repo Manor,null,9669275,19569
400562,19,Kalad Plaza,null,3311126,4397
400563,15,Radaf Extension,null,2481502,45603
400564,15,Nilep Terrace,null,9988863,48129
400565,30,Zarito Court,null,9974955,4116
400566,18,Mobkeh Boulevard,null,6774853,4062
400567,25,Mampeg Manor,null,9709140,12948
400568,16,Pucu Manor,null,5202574,779
400569,25,Ivger Center,null,4215624,23780
400570,25,Kewul Terrace,null,3124503,23485
400571,20,Zonon Grove,null,2685528,29820
400572,17,Omumu Point,null,5224555,43127
400573,30,Buvise Circle,null,8953494,43337
400574,17,Woik Turnpike,null,604617,6549
400575,16,Nebe Court,null,7850370,13167
400576,25,Kuwoz Path,null,6574725,40512
400577,19,Cafu Glen,null,9597145,32697
400578,16,Adeve Mill,null,3127739,9105
400579,17,Gocoj Manor,null,3969267,7253
400580,30,Jabi Road,null,1090100,23601
400581,29,Kawefe Boulevard,null,4193525,1367
400582,30,Ruki Pike,null,8074816,28223
400583,15,Reilo View,null,6957315,24531
400584,17,Nunpam Path,null,9284489,19246
400585,29,Vidge Square,null,1250378,18109
400586,15,Bicgo Drive,null,1698116,36887
400587,19,Hebri Park,null,5395791,48308
400588,25,Topman Lane,null,1518182,7696
400589,16,Amudam Road,null,5794449,2311
400590,17,Silsew Key,null,4594971,30395
400591,25,Lechu Terrace,null,5110583,38228
400592,16,Pojkav Terrace,null,8949205,22460
400593,17,Owjad Park,null,6550774,34695
400594,19,Fohje Avenue,null,544141,16442
400595,25,Gafrip Road,null,8803227,35339
400596,15,Faak Terrace,null,4971546,36826
400597,19,Safmo Parkway,null,9945382,29000
400598,16,Sesok Heights,null,682378,31348
400599,25,Armu Terrace,null,9334864,23942
400600,29,Ruso Avenue,null,7354176,23949
400601,15,Nifun Heights,null,2030639,20500
400602,19,Hebut Plaza,null,1226745,33291
400603,20,Fentet Parkway,null,1136666,38882
400604,25,Wopjuv River,null,3880685,5522
400605,20,Miwpud Road,null,9060538,5120
400606,15,Tignev Park,null,4222099,25672
400607,15,Lubop Mill,null,2111558,43351
400608,18,Atised Grove,null,9775745,42445
400609,25,Hati Boulevard,null,5040407,40405
400610,18,Nawu Path,null,8890616,15859
400611,20,Ezbak Trail,null,8850904,20414
400612,29,Egiwac Mill,null,8963166,26543
400613,16,Doruma Turnpike,null,4683655,25212
400614,20,Muisi Square,null,1372210,10397
400615,15,Diod Plaza,null,3182668,3817
400616,25,Wiwcu Avenue,null,9193119,36424
400617,29,Novok Plaza,null,4741618,41319
400618,17,Jame Avenue,null,2408279,36077
400619,17,Pozjo Lane,null,9919867,31024
400620,16,Gowi Ridge,null,724855,5771
400621,17,Hasiv River,null,7534963,47595
400622,16,Zujup Path,null,4668118,4701
400623,29,Midpuk Turnpike,null,4545705,49273
400624,29,Latuz Avenue,null,9280650,42456
400625,17,Ilaja Plaza,null,3062648,16269
400626,18,Adakod Path,null,1097867,5443
400627,19,Sajile Highway,null,6050018,41404
400628,29,Tibar Drive,null,6181206,38074
400629,15,Sovnak Pass,null,6332816,44607
400630,18,Hazov Plaza,null,2228499,23534
400631,20,Zahil Extension,null,2094959,18958
400632,19,Wuhzi Extension,null,3819957,37473
