ID,PRECIO,HOTEL,TIPO_HABITACION,ESTADO
160148,870265,7211,suite,deshabilitado
160149,300633,3107,suite,habilitado
160150,683027,14981,semisuite,habilitado
160151,917731,13693,estandar,habilitado
160152,933534,18577,estandar,habilitado
160153,444605,1264,suite,habilitado
160154,55405,13096,suite,deshabilitado
160155,113267,10478,estandar,habilitado
160156,106114,899,suite,deshabilitado
160157,309153,6772,semisuite,habilitado
160158,467910,14411,semisuite,habilitado
160159,550500,14340,suite,deshabilitado
160160,956926,2974,suite,deshabilitado
160161,837531,3493,suite,habilitado
160162,715367,17030,suite,habilitado
160163,866840,15694,semisuite,deshabilitado
160164,416656,14493,suite,habilitado
160165,3835,12144,semisuite,habilitado
160166,150276,14513,estandar,deshabilitado
160167,62675,8655,estandar,deshabilitado
160168,161485,17226,estandar,deshabilitado
160169,756020,17160,semisuite,habilitado
160170,507320,15266,semisuite,habilitado
160171,531472,17918,estandar,habilitado
160172,993616,4357,semisuite,habilitado
160173,257899,4150,suite,deshabilitado
160174,760159,14759,estandar,deshabilitado
160175,748685,15593,estandar,deshabilitado
160176,431062,9576,suite,deshabilitado
160177,928833,17116,estandar,habilitado
160178,254967,17511,estandar,habilitado
160179,678094,7711,suite,deshabilitado
160180,410495,15014,estandar,habilitado
160181,876501,7962,semisuite,habilitado
160182,362395,12652,estandar,deshabilitado
160183,877581,18291,suite,deshabilitado
160184,487521,8413,estandar,habilitado
160185,889927,7883,semisuite,deshabilitado
160186,793570,4667,semisuite,habilitado
160187,370913,6695,suite,deshabilitado
160188,437618,2911,suite,deshabilitado
160189,10998,19713,suite,deshabilitado
160190,171800,10619,estandar,habilitado
160191,375843,4974,suite,habilitado
160192,913245,19897,semisuite,deshabilitado
160193,580401,4197,semisuite,habilitado
160194,327413,2136,semisuite,habilitado
160195,205622,2927,estandar,deshabilitado
160196,399165,12420,semisuite,habilitado
160197,574592,6237,semisuite,habilitado
160198,39652,9268,semisuite,deshabilitado
160199,942248,3495,semisuite,deshabilitado
160200,466951,5420,semisuite,habilitado
160201,319795,8489,estandar,deshabilitado
160202,158262,7449,estandar,habilitado
160203,971311,15323,semisuite,habilitado
160204,3966,19472,estandar,deshabilitado
160205,736499,8411,estandar,habilitado
160206,554907,148,suite,deshabilitado
160207,111378,15034,suite,deshabilitado
160208,369034,7831,suite,deshabilitado
160209,955959,19293,suite,deshabilitado
160210,335634,992,estandar,habilitado
160211,353148,16333,semisuite,habilitado
160212,455234,1852,estandar,habilitado
160213,765100,3568,suite,habilitado
160214,728188,12170,suite,deshabilitado
160215,191185,10902,suite,habilitado
160216,21079,19259,suite,deshabilitado
160217,288338,14225,suite,deshabilitado
160218,373859,1101,estandar,habilitado
160219,691574,16269,estandar,deshabilitado
160220,401787,6916,suite,habilitado
160221,49304,2049,semisuite,deshabilitado
160222,522579,12188,semisuite,habilitado
160223,536180,8428,suite,habilitado
160224,389849,6593,estandar,deshabilitado
160225,439016,16292,estandar,habilitado
160226,260079,8148,suite,habilitado
160227,275623,9861,semisuite,deshabilitado
160228,78905,6306,estandar,habilitado
160229,608389,18490,semisuite,deshabilitado
160230,501906,7503,semisuite,habilitado
160231,620275,5407,suite,habilitado
160232,699064,15451,estandar,deshabilitado
160233,981516,1145,suite,habilitado
160234,868043,10502,estandar,deshabilitado
160235,37681,9642,estandar,habilitado
160236,192503,14051,estandar,habilitado
160237,768780,80,semisuite,deshabilitado
160238,910683,13138,semisuite,habilitado
160239,184692,19304,semisuite,habilitado
160240,636540,8563,estandar,habilitado
160241,175801,5200,estandar,habilitado
160242,600260,15769,semisuite,habilitado
160243,794906,9743,estandar,habilitado
160244,246567,2538,estandar,habilitado
160245,761082,4902,semisuite,deshabilitado
160246,192007,10943,semisuite,habilitado
160247,644348,18805,suite,deshabilitado
160248,288681,13107,suite,deshabilitado
160249,571042,3479,estandar,deshabilitado
160250,468766,16738,suite,deshabilitado
160251,524854,9368,suite,habilitado
160252,814902,14173,suite,habilitado
160253,652875,6300,suite,habilitado
160254,327322,873,estandar,deshabilitado
160255,465230,15252,semisuite,habilitado
160256,694270,138,semisuite,habilitado
160257,97774,229,suite,deshabilitado
160258,413340,3185,semisuite,habilitado
160259,339311,2928,suite,habilitado
160260,702508,3051,estandar,habilitado
160261,247987,6522,estandar,habilitado
160262,506425,18695,estandar,habilitado
160263,730766,18247,suite,habilitado
160264,800180,5533,semisuite,habilitado
160265,427220,18817,estandar,habilitado
160266,77842,9278,suite,deshabilitado
160267,32296,5499,semisuite,habilitado
160268,877973,8747,suite,deshabilitado
160269,689229,14949,estandar,habilitado
160270,88281,9917,semisuite,deshabilitado
160271,211010,8372,semisuite,deshabilitado
160272,577158,12159,semisuite,habilitado
160273,741398,14462,estandar,habilitado
160274,784955,8557,estandar,habilitado
160275,743517,4672,suite,deshabilitado
160276,35191,10072,estandar,habilitado
160277,505632,19593,estandar,habilitado
160278,163754,1744,suite,habilitado
160279,138094,2348,semisuite,deshabilitado
160280,180900,13416,estandar,deshabilitado
160281,892579,6559,semisuite,habilitado
160282,483951,14334,suite,deshabilitado
160283,238992,15553,semisuite,habilitado
160284,116156,6262,suite,habilitado
160285,391904,6437,semisuite,habilitado
160286,237346,7552,semisuite,deshabilitado
160287,636826,11870,estandar,deshabilitado
160288,263432,5239,suite,habilitado
160289,353732,2077,suite,habilitado
160290,390026,9248,semisuite,habilitado
160291,296542,1735,suite,deshabilitado
160292,108772,1816,suite,deshabilitado
160293,400873,4143,estandar,habilitado
160294,972504,19430,estandar,habilitado
160295,588244,17809,estandar,habilitado
160296,839539,247,suite,deshabilitado
160297,850255,2694,estandar,deshabilitado
160298,745899,1430,semisuite,deshabilitado
160299,876322,12541,semisuite,deshabilitado
160300,492144,15886,suite,deshabilitado
160301,16954,4892,estandar,deshabilitado
160302,852627,17711,semisuite,deshabilitado
160303,370699,19972,suite,deshabilitado
160304,260607,19188,semisuite,deshabilitado
160305,888965,6748,suite,habilitado
160306,606376,17652,estandar,habilitado
160307,854326,11646,estandar,deshabilitado
160308,159088,2064,semisuite,habilitado
160309,600522,3914,suite,habilitado
160310,942576,12137,suite,habilitado
160311,517725,1912,estandar,deshabilitado
160312,852269,2323,estandar,deshabilitado
160313,339075,3899,suite,deshabilitado
160314,475973,5118,semisuite,deshabilitado
160315,136613,6569,semisuite,habilitado
160316,382032,1616,semisuite,habilitado
160317,830849,4610,estandar,habilitado
160318,60098,6230,semisuite,deshabilitado
160319,849624,18972,semisuite,deshabilitado
160320,254808,8409,suite,deshabilitado
160321,971848,10776,estandar,deshabilitado
160322,148230,9566,semisuite,habilitado
160323,570163,2945,semisuite,deshabilitado
160324,962411,5159,suite,habilitado
160325,27651,423,semisuite,deshabilitado
160326,898909,19121,suite,habilitado
160327,190938,2619,semisuite,habilitado
160328,95137,10151,estandar,deshabilitado
160329,561910,17889,suite,deshabilitado
160330,743472,9013,estandar,deshabilitado
160331,418091,3294,suite,habilitado
160332,567593,14963,suite,habilitado
160333,250776,9742,semisuite,deshabilitado
160334,808149,9435,semisuite,deshabilitado
160335,974131,18644,suite,deshabilitado
160336,150960,10905,suite,deshabilitado
160337,739781,17833,estandar,deshabilitado
160338,326153,17987,suite,habilitado
160339,933670,9938,estandar,deshabilitado
160340,622313,8672,suite,deshabilitado
160341,101064,3402,suite,habilitado
160342,214009,13251,semisuite,deshabilitado
160343,179925,18721,semisuite,habilitado
160344,58808,616,semisuite,habilitado
160345,627897,9479,estandar,deshabilitado
160346,910073,9221,semisuite,deshabilitado
160347,15250,6636,semisuite,deshabilitado
160348,173024,458,semisuite,habilitado
160349,645667,9640,semisuite,deshabilitado
160350,274982,4378,semisuite,deshabilitado
160351,598561,4801,semisuite,habilitado
160352,561433,18283,suite,habilitado
160353,714832,7086,suite,deshabilitado
160354,236017,19284,estandar,deshabilitado
160355,884064,2195,estandar,deshabilitado
160356,54285,9601,semisuite,habilitado
160357,512478,16521,semisuite,deshabilitado
160358,803393,15234,estandar,habilitado
160359,603921,16566,semisuite,habilitado
160360,626945,11242,estandar,habilitado
160361,282081,3452,semisuite,deshabilitado
160362,261646,10776,estandar,habilitado
160363,750109,15425,suite,habilitado
160364,510487,17013,semisuite,habilitado
160365,318922,5233,estandar,habilitado
160366,37368,19073,suite,habilitado
160367,778491,5707,suite,habilitado
160368,512931,18149,semisuite,habilitado
160369,194559,12743,semisuite,habilitado
160370,885964,7244,semisuite,deshabilitado
160371,716192,11922,semisuite,deshabilitado
160372,165864,14834,semisuite,deshabilitado
160373,417467,17412,suite,deshabilitado
160374,261714,17929,suite,habilitado
160375,55747,6515,suite,deshabilitado
160376,484527,4895,estandar,habilitado
160377,1659,11901,semisuite,deshabilitado
160378,308698,9577,suite,deshabilitado
160379,163869,6405,estandar,deshabilitado
160380,130091,5445,semisuite,deshabilitado
160381,874425,14376,estandar,deshabilitado
160382,983562,2112,estandar,habilitado
160383,185588,17462,suite,deshabilitado
160384,546650,6458,estandar,habilitado
160385,652414,10206,estandar,habilitado
160386,8633,16194,estandar,deshabilitado
160387,568351,15429,estandar,deshabilitado
160388,570102,2107,estandar,deshabilitado
160389,465446,148,semisuite,habilitado
160390,6536,14140,suite,deshabilitado
160391,462019,17677,suite,deshabilitado
160392,575345,5214,estandar,habilitado
160393,993032,6005,semisuite,habilitado
160394,34320,11885,estandar,habilitado
160395,644990,11808,estandar,habilitado
160396,835890,15939,suite,deshabilitado
160397,819075,7285,estandar,habilitado
160398,133276,8678,semisuite,habilitado
160399,447130,2428,estandar,deshabilitado
160400,167568,12079,suite,habilitado
160401,16336,16164,suite,habilitado
160402,727084,9919,estandar,habilitado
160403,988689,13497,semisuite,habilitado
160404,674302,9048,semisuite,deshabilitado
160405,674918,14779,semisuite,deshabilitado
160406,123119,6238,suite,deshabilitado
160407,333419,3418,semisuite,habilitado
160408,327342,10812,estandar,deshabilitado
160409,109024,18597,semisuite,habilitado
160410,417290,12791,semisuite,habilitado
160411,706061,11471,suite,habilitado
160412,287453,859,estandar,deshabilitado
160413,374535,13850,estandar,deshabilitado
160414,881974,11989,semisuite,habilitado
160415,28677,14575,estandar,habilitado
160416,386618,7552,suite,deshabilitado
160417,762429,4940,suite,deshabilitado
160418,590574,16373,estandar,habilitado
160419,117902,11769,semisuite,habilitado
160420,289628,2743,semisuite,deshabilitado
160421,30476,13157,semisuite,deshabilitado
160422,406962,3936,suite,deshabilitado
160423,743359,13376,semisuite,deshabilitado
160424,621857,10268,estandar,habilitado
160425,675228,8340,estandar,habilitado
160426,464158,18998,estandar,deshabilitado
160427,500971,10645,suite,habilitado
160428,605307,13405,semisuite,deshabilitado
160429,437422,5789,estandar,habilitado
160430,646560,13540,estandar,habilitado
160431,39908,7731,estandar,deshabilitado
160432,580827,13060,semisuite,habilitado
160433,396950,10155,suite,deshabilitado
160434,616330,19427,suite,habilitado
160435,31975,6521,semisuite,deshabilitado
160436,141337,7798,semisuite,habilitado
160437,898532,9335,semisuite,habilitado
160438,294565,13181,estandar,habilitado
160439,578355,1207,estandar,habilitado
160440,952982,19362,suite,deshabilitado
160441,518854,15139,semisuite,deshabilitado
160442,439991,11981,suite,habilitado
160443,518095,5630,suite,habilitado
160444,748982,9570,semisuite,habilitado
160445,164649,11596,semisuite,deshabilitado
160446,143408,11905,suite,habilitado
160447,148412,4498,estandar,deshabilitado
160448,238799,7207,estandar,deshabilitado
160449,302258,5703,semisuite,deshabilitado
160450,20770,15919,estandar,habilitado
160451,508464,13922,semisuite,habilitado
160452,14185,11836,suite,habilitado
160453,719957,1264,semisuite,deshabilitado
160454,660745,5262,semisuite,deshabilitado
160455,109828,12563,estandar,deshabilitado
160456,275253,7116,estandar,deshabilitado
160457,546475,15494,semisuite,habilitado
160458,703152,19262,estandar,habilitado
160459,94544,631,suite,deshabilitado
160460,283948,10202,estandar,deshabilitado
160461,386686,13215,suite,habilitado
160462,804887,7585,estandar,habilitado
160463,309254,3983,suite,habilitado
160464,103979,15376,suite,habilitado
160465,253279,3025,semisuite,habilitado
160466,303343,14957,semisuite,deshabilitado
160467,276578,5481,suite,habilitado
160468,672629,12379,suite,deshabilitado
160469,366278,9271,estandar,habilitado
160470,77219,1393,suite,deshabilitado
160471,926294,10954,semisuite,deshabilitado
160472,223092,19646,suite,deshabilitado
160473,751751,14653,semisuite,deshabilitado
160474,588215,10499,semisuite,habilitado
160475,696276,4904,estandar,habilitado
160476,662269,13036,semisuite,deshabilitado
160477,664315,6043,semisuite,habilitado
160478,732116,3984,estandar,habilitado
160479,483188,3096,estandar,deshabilitado
160480,625402,10769,suite,habilitado
160481,826332,8225,semisuite,deshabilitado
160482,274788,4691,suite,habilitado
160483,584321,16695,estandar,habilitado
160484,241206,1863,estandar,deshabilitado
160485,597658,15441,estandar,habilitado
160486,358323,3823,suite,deshabilitado
160487,115778,5569,estandar,habilitado
160488,911714,18282,suite,deshabilitado
160489,612953,10445,semisuite,deshabilitado
160490,659213,11894,suite,habilitado
160491,40128,5104,semisuite,deshabilitado
160492,508680,1304,suite,habilitado
160493,70545,9009,suite,habilitado
160494,885694,19224,semisuite,deshabilitado
160495,122107,13530,estandar,habilitado
160496,909086,18141,semisuite,deshabilitado
160497,807209,9621,estandar,deshabilitado
160498,900856,15265,estandar,habilitado
160499,761103,8001,suite,habilitado
160500,753972,14377,semisuite,habilitado
160501,269768,3988,semisuite,deshabilitado
160502,651372,2406,estandar,deshabilitado
160503,484134,9680,estandar,deshabilitado
160504,923818,13765,estandar,deshabilitado
160505,914873,4459,estandar,habilitado
160506,346718,12886,estandar,habilitado
160507,467640,19387,estandar,deshabilitado
160508,749965,733,estandar,habilitado
160509,330855,2343,estandar,habilitado
160510,750891,10527,suite,deshabilitado
160511,310632,5353,semisuite,habilitado
160512,865789,8335,semisuite,deshabilitado
160513,322036,12266,suite,deshabilitado
160514,271185,6465,semisuite,deshabilitado
160515,522300,12270,suite,habilitado
160516,514109,15625,suite,deshabilitado
160517,844460,15783,estandar,deshabilitado
160518,312025,19970,suite,deshabilitado
160519,137559,18490,suite,deshabilitado
160520,279962,18734,estandar,habilitado
160521,186139,18801,suite,deshabilitado
160522,559585,10920,estandar,deshabilitado
160523,372207,288,estandar,deshabilitado
160524,915385,19533,semisuite,habilitado
160525,771022,19773,semisuite,habilitado
160526,666215,11211,suite,habilitado
160527,21062,5349,semisuite,habilitado
160528,107258,7541,estandar,deshabilitado
160529,517832,13004,suite,deshabilitado
160530,27411,18207,semisuite,habilitado
160531,972959,7830,semisuite,deshabilitado
160532,313816,9436,semisuite,deshabilitado
160533,142773,2348,estandar,habilitado
160534,707286,513,estandar,habilitado
160535,515934,5231,semisuite,deshabilitado
160536,734062,4204,suite,habilitado
160537,235577,15185,estandar,deshabilitado
160538,59262,1760,estandar,deshabilitado
160539,705293,11845,estandar,deshabilitado
160540,412242,3092,semisuite,deshabilitado
160541,713846,13293,suite,deshabilitado
160542,975379,17157,estandar,habilitado
160543,22539,947,semisuite,deshabilitado
160544,922961,16882,semisuite,deshabilitado
160545,897435,11254,semisuite,deshabilitado
160546,873555,17725,suite,habilitado
160547,215668,9705,suite,habilitado
160548,604107,6737,semisuite,deshabilitado
160549,80496,14039,estandar,habilitado
160550,819264,1202,suite,habilitado
160551,294647,19650,estandar,deshabilitado
160552,59155,2070,estandar,deshabilitado
160553,622016,1642,suite,deshabilitado
160554,836310,17297,estandar,habilitado
160555,369990,6381,estandar,deshabilitado
160556,197813,16994,estandar,deshabilitado
160557,89520,429,suite,habilitado
160558,854851,10917,suite,deshabilitado
160559,104375,11404,suite,habilitado
160560,420044,3080,suite,deshabilitado
160561,271932,9024,estandar,habilitado
160562,918989,2678,semisuite,deshabilitado
160563,363157,5890,semisuite,deshabilitado
160564,753721,17217,semisuite,deshabilitado
160565,268054,5387,suite,deshabilitado
160566,564572,16620,suite,habilitado
160567,866070,3870,suite,deshabilitado
160568,120753,8459,suite,habilitado
160569,836059,7094,suite,deshabilitado
160570,810130,6207,semisuite,habilitado
160571,540905,3309,suite,habilitado
160572,75645,5846,suite,deshabilitado
160573,163168,5941,suite,habilitado
160574,719077,19686,estandar,deshabilitado
160575,805789,3168,suite,habilitado
160576,271968,17086,estandar,habilitado
160577,262902,13869,suite,habilitado
160578,222026,6452,semisuite,deshabilitado
160579,532547,2266,semisuite,deshabilitado
160580,947733,15024,semisuite,deshabilitado
160581,750479,14767,semisuite,habilitado
160582,889374,6823,suite,deshabilitado
160583,260493,3233,semisuite,habilitado
160584,557609,4146,semisuite,habilitado
160585,409831,2722,suite,habilitado
160586,98483,11591,semisuite,deshabilitado
160587,367974,13213,estandar,habilitado
160588,23949,8079,suite,deshabilitado
160589,235279,13802,semisuite,deshabilitado
160590,312027,1391,estandar,habilitado
160591,451115,10876,semisuite,deshabilitado
160592,254854,552,estandar,habilitado
160593,677645,9458,estandar,deshabilitado
160594,600628,17598,semisuite,habilitado
160595,214475,16557,estandar,habilitado
160596,145319,10281,semisuite,deshabilitado
160597,19998,5319,estandar,habilitado
160598,877956,19367,estandar,habilitado
160599,247255,8494,suite,deshabilitado
160600,891074,13576,suite,deshabilitado
160601,599609,7040,semisuite,deshabilitado
160602,997690,8123,semisuite,habilitado
160603,780545,1558,semisuite,deshabilitado
160604,459850,20,estandar,deshabilitado
160605,423441,17990,suite,habilitado
160606,590842,5354,suite,habilitado
160607,87850,10274,suite,deshabilitado
160608,785939,7865,estandar,deshabilitado
160609,549086,17622,estandar,deshabilitado
160610,638327,3522,estandar,deshabilitado
160611,605565,5590,estandar,deshabilitado
160612,15782,12833,semisuite,deshabilitado
160613,590745,8999,semisuite,deshabilitado
160614,559357,3159,suite,deshabilitado
160615,621408,3955,estandar,deshabilitado
160616,895237,6046,semisuite,deshabilitado
160617,537330,9255,semisuite,habilitado
160618,672517,17427,estandar,deshabilitado
160619,696603,1775,estandar,deshabilitado
160620,153407,7113,estandar,habilitado
160621,836551,13257,suite,deshabilitado
160622,245637,14161,semisuite,habilitado
160623,975783,17457,suite,habilitado
160624,677498,563,estandar,deshabilitado
160625,397645,16704,suite,habilitado
160626,322391,4584,estandar,deshabilitado
160627,147683,657,semisuite,habilitado
160628,809710,14613,semisuite,habilitado
160629,998843,4303,semisuite,habilitado
160630,646262,13672,suite,deshabilitado
160631,953564,14714,semisuite,habilitado
160632,978176,19130,semisuite,habilitado
160633,28843,17112,estandar,deshabilitado
160634,570134,6189,estandar,habilitado
160635,536994,19668,semisuite,deshabilitado
160636,485185,14564,suite,deshabilitado
160637,341928,16199,suite,habilitado
160638,43228,14956,semisuite,habilitado
160639,331064,10000,estandar,habilitado
160640,291186,3487,semisuite,habilitado
160641,384446,7120,semisuite,habilitado
160642,490708,4759,estandar,deshabilitado
160643,554528,482,estandar,deshabilitado
160644,386036,10192,semisuite,habilitado
160645,79577,7681,suite,habilitado
160646,947128,14354,suite,habilitado
160647,351955,4308,semisuite,habilitado
160648,348422,17631,semisuite,habilitado
160649,724835,16714,semisuite,habilitado
160650,65543,4342,suite,habilitado
160651,617335,14022,semisuite,habilitado
160652,859132,17751,suite,deshabilitado
160653,154010,7674,semisuite,deshabilitado
160654,665953,10795,suite,deshabilitado
160655,643331,14075,suite,deshabilitado
160656,311014,15994,estandar,deshabilitado
160657,675380,17864,suite,deshabilitado
160658,693819,4062,suite,habilitado
160659,652128,13732,semisuite,deshabilitado
160660,57031,183,estandar,habilitado
160661,315359,10992,semisuite,habilitado
160662,801809,7717,estandar,habilitado
160663,958368,4384,suite,deshabilitado
160664,326089,1486,semisuite,habilitado
160665,905987,12886,semisuite,habilitado
160666,383675,9123,estandar,deshabilitado
160667,625461,18945,suite,habilitado
160668,101715,6961,suite,deshabilitado
160669,56701,13526,suite,deshabilitado
160670,897533,18886,suite,habilitado
160671,976917,15066,semisuite,deshabilitado
160672,226328,18233,estandar,deshabilitado
160673,146814,4471,suite,habilitado
160674,979021,10414,suite,deshabilitado
160675,846549,16422,estandar,deshabilitado
160676,669872,11499,semisuite,deshabilitado
160677,325777,5059,semisuite,deshabilitado
160678,914152,13751,semisuite,habilitado
160679,84327,7749,semisuite,deshabilitado
160680,246219,10829,semisuite,deshabilitado
160681,43895,14614,semisuite,deshabilitado
160682,585697,10309,semisuite,deshabilitado
160683,159451,15892,suite,habilitado
160684,379858,12991,estandar,deshabilitado
160685,464671,19986,semisuite,deshabilitado
160686,578531,6904,semisuite,deshabilitado
160687,66008,19840,semisuite,deshabilitado
160688,907605,17150,semisuite,habilitado
160689,623770,12410,suite,habilitado
160690,289864,11203,semisuite,deshabilitado
160691,468581,19882,estandar,deshabilitado
160692,223045,13335,estandar,habilitado
160693,783029,13796,estandar,deshabilitado
160694,379434,3945,semisuite,habilitado
160695,106917,6783,semisuite,habilitado
160696,332821,527,estandar,habilitado
160697,808118,9791,semisuite,deshabilitado
160698,400912,4077,semisuite,deshabilitado
160699,390181,3324,suite,habilitado
160700,8515,8920,estandar,deshabilitado
160701,612356,5674,estandar,habilitado
160702,377499,2504,suite,habilitado
160703,398487,16623,semisuite,habilitado
160704,955022,8659,estandar,deshabilitado
160705,632495,4797,suite,deshabilitado
160706,408351,15206,semisuite,habilitado
160707,787127,5358,suite,habilitado
160708,399358,4407,semisuite,deshabilitado
160709,22553,16697,estandar,habilitado
160710,665591,5951,suite,habilitado
160711,495893,6559,estandar,deshabilitado
160712,364604,7307,suite,deshabilitado
160713,603124,19033,estandar,habilitado
160714,583131,1182,estandar,deshabilitado
160715,149853,18744,suite,deshabilitado
160716,943534,12709,estandar,habilitado
160717,382706,1633,semisuite,habilitado
160718,65130,16265,suite,deshabilitado
160719,180014,12822,suite,deshabilitado
160720,379326,10414,suite,deshabilitado
160721,439227,9768,suite,deshabilitado
160722,117447,7487,suite,habilitado
160723,134725,3886,estandar,habilitado
160724,513849,5923,semisuite,habilitado
160725,716200,19987,semisuite,habilitado
160726,206264,17227,suite,habilitado
160727,262971,7688,estandar,habilitado
160728,574922,2510,suite,habilitado
160729,981862,5160,suite,habilitado
160730,562957,7313,estandar,deshabilitado
160731,776644,8543,suite,deshabilitado
160732,368452,17439,estandar,habilitado
