ID,COSTO,INTERNET_TV,ADMINISTRACION,PERSONA
80458,587398,1,0,117893
80459,701727,0,0,73091
80460,542771,1,1,27007
80461,425575,1,1,9444
80462,432682,1,0,29456
80463,435455,0,0,43711
80464,564204,1,0,94828
80465,770434,1,0,145233
80466,689586,0,1,67078
80467,940429,0,0,22836
80468,974709,0,1,42116
80469,219933,0,0,82307
80470,875665,0,0,104873
80471,774367,1,1,140507
80472,591678,0,1,44246
80473,620588,0,1,40864
80474,931142,1,0,13605
80475,782806,1,0,14690
80476,108458,1,0,76376
80477,2949,0,1,88503
80478,65477,1,1,2035
80479,46018,0,1,122938
80480,901848,0,0,30859
80481,91255,1,0,93233
80482,254835,1,0,88909
80483,655244,0,0,108414
80484,599097,0,0,56422
80485,772074,0,0,67419
80486,984519,0,0,83652
80487,586419,0,0,123140
80488,486146,1,0,51824
80489,881226,1,1,120097
80490,872064,0,0,64084
80491,585506,0,0,107775
80492,510990,0,1,6886
80493,369445,1,0,37339
80494,209253,0,0,3269
80495,60262,1,0,105238
80496,281317,1,1,97992
80497,499457,1,1,12247
80498,123205,1,1,68710
80499,88498,1,0,105926
80500,287498,1,0,44946
80501,708986,1,0,90567
80502,998362,1,0,63136
80503,578306,1,1,32171
80504,112566,1,1,103352
80505,181661,1,0,45874
80506,12538,0,0,58444
80507,770112,1,0,77795
80508,626305,0,0,119796
80509,450202,0,1,143091
80510,948315,1,0,107776
80511,605194,1,0,59641
80512,395078,0,1,89644
80513,28384,0,0,127286
80514,786494,1,1,23070
80515,347,1,0,49206
80516,213847,0,0,17141
80517,879960,0,1,1493
80518,243363,1,1,99023
80519,73265,0,0,141751
80520,373037,0,0,9907
80521,160534,1,0,10377
80522,647117,1,0,80347
80523,166701,1,1,7658
80524,3243,1,0,121544
80525,992952,0,0,67405
80526,381122,1,1,132729
80527,814126,1,0,71712
80528,784501,0,0,146001
80529,628191,1,0,2607
80530,7676,0,1,146431
80531,494663,1,0,111510
80532,303325,0,1,101362
80533,74092,0,1,87163
80534,396621,1,0,71615
80535,154977,1,1,95769
80536,327307,0,0,124367
80537,715068,0,1,113559
80538,655218,1,0,33876
80539,175031,0,1,63312
80540,797484,0,0,3104
80541,766903,1,1,67363
80542,357759,1,0,40990
80543,722316,0,1,10507
80544,372252,0,1,551
80545,819284,1,0,134073
80546,411166,1,0,99390
80547,74514,1,0,31581
80548,779234,0,1,39761
80549,943863,1,1,108233
80550,29809,1,1,26089
80551,792017,1,0,18889
80552,614683,1,1,45252
80553,562137,0,1,116129
80554,837863,1,1,42439
80555,978,1,1,105377
80556,357472,0,1,39991
80557,291770,0,0,24741
80558,502256,1,1,104306
80559,409435,1,0,58791
80560,352308,1,1,79686
80561,14736,1,1,42319
80562,232977,0,1,58647
80563,314202,1,0,131991
80564,707466,1,1,144806
80565,825249,0,1,24144
80566,516366,1,0,53706
80567,943011,1,1,113015
80568,424146,0,1,147666
80569,889900,1,1,13946
80570,774307,1,1,19047
80571,509841,1,1,139988
80572,641796,1,1,139839
80573,660954,0,1,78998
80574,141033,1,1,41047
80575,834865,0,0,74220
80576,199423,0,0,139065
80577,541580,0,0,77347
80578,384155,0,0,46777
80579,892496,1,0,25789
80580,715877,1,0,144042
80581,161993,1,0,45299
80582,895240,0,1,118091
80583,154224,0,0,67849
80584,679483,0,0,2772
80585,297267,0,1,69172
80586,601752,1,1,45752
80587,936269,1,0,113070
80588,791037,1,0,51425
80589,10600,0,1,135215
80590,127522,1,1,100882
80591,12813,1,0,67168
80592,571621,1,0,103273
80593,32394,0,0,77414
80594,847292,0,1,14752
80595,158862,0,1,115904
80596,609616,0,0,32299
80597,388747,0,1,29008
80598,718907,0,1,16328
80599,7973,0,1,98651
80600,282908,1,0,146287
80601,741252,1,0,58150
80602,607196,0,1,101332
80603,148553,1,0,10481
80604,953667,0,1,75148
80605,543878,0,1,137624
80606,704019,1,1,139499
80607,930409,0,0,111024
80608,233485,1,1,91104
80609,977534,0,0,75611
80610,909777,0,0,98351
80611,286477,0,0,106242
80612,182883,1,0,146105
80613,668307,1,0,79366
80614,346713,1,0,8201
80615,937545,1,1,40601
80616,837799,1,0,49381
80617,443514,1,0,139554
80618,562168,1,1,125523
80619,613594,1,1,105219
80620,92070,1,0,136178
80621,571183,0,1,19054
80622,869191,1,0,65318
80623,155189,0,1,137123
80624,838725,1,0,2462
80625,873927,1,1,3136
80626,360501,0,0,98679
80627,898410,1,1,122908
80628,983629,0,1,67600
80629,896736,1,1,109319
80630,942478,0,0,43206
80631,676502,0,1,101590
80632,210669,0,0,142527
80633,770449,1,0,102860
80634,388591,0,0,121854
80635,315370,1,0,51702
80636,856188,0,0,140270
80637,914874,1,0,127847
80638,589669,1,1,34823
80639,571248,0,1,134919
80640,676293,0,1,91804
80641,394684,0,0,78510
80642,466810,1,1,20221
80643,374403,0,1,29458
80644,408525,0,1,43474
80645,204217,0,1,1526
80646,425274,0,1,99947
80647,300743,1,0,94444
80648,494210,1,0,80418
80649,98095,0,1,47073
80650,300880,0,0,122996
80651,993407,1,0,49599
80652,117550,0,1,40984
80653,707849,0,1,62631
80654,605342,0,1,12201
80655,110452,0,0,62273
80656,39968,1,1,53129
80657,357861,1,1,53351
80658,520249,0,0,118665
80659,157027,0,0,25383
80660,569068,1,1,122330
80661,178751,0,1,33824
80662,465112,0,1,30801
80663,313902,0,1,68709
80664,52867,1,0,7287
80665,210572,0,1,130055
80666,150058,1,1,101482
80667,160406,1,1,145108
80668,369315,1,1,115952
80669,50887,1,0,8554
80670,582454,1,0,70504
80671,805974,1,0,9458
80672,356472,1,1,70634
80673,531194,0,1,102045
80674,406321,0,0,15631
80675,256691,0,1,33641
80676,626651,1,1,81418
80677,881424,1,1,123703
80678,695308,0,1,106681
80679,519102,0,0,136399
80680,38619,1,0,67213
80681,25908,1,0,13398
80682,314108,0,1,141052
80683,157777,1,1,134703
80684,806824,0,0,99833
80685,672629,1,0,21389
80686,530341,1,1,54918
80687,911867,1,1,51435
80688,458179,0,0,106108
80689,919763,1,0,37955
80690,218434,1,0,31160
80691,529843,0,1,130789
80692,452830,0,1,113713
80693,963352,0,0,125871
80694,663009,0,0,70692
80695,604570,0,1,13288
80696,943281,0,1,41013
80697,701599,0,0,5695
80698,422998,1,1,74734
80699,993888,1,0,12193
80700,507995,1,0,143386
80701,541545,1,1,134757
80702,843506,0,0,136156
80703,350188,0,1,128575
80704,926243,1,1,61549
80705,301741,1,0,85357
80706,596611,0,0,79418
80707,187956,1,1,5372
80708,765685,1,1,25374
80709,282660,1,1,110337
80710,333798,1,0,61627
80711,632033,1,1,40499
80712,94297,1,0,114681
80713,275516,0,1,34621
80714,868264,0,0,30834
80715,154391,1,1,110169
80716,230609,1,0,64496
80717,576441,0,0,124470
80718,787946,1,0,95177
80719,414369,0,0,22814
80720,309030,1,1,72782
80721,2614,0,0,16129
80722,201051,1,0,61394
80723,182678,0,0,24722
80724,832017,0,0,11507
80725,32882,1,1,90952
80726,608418,0,1,33362
80727,662954,0,1,54328
80728,707525,1,1,21630
80729,688439,0,1,84047
80730,742510,0,0,28854
80731,472559,0,1,56714
80732,785432,0,1,42672
80733,571599,0,0,19729
80734,292984,1,0,78456
80735,19328,0,1,122435
80736,670449,1,1,18884
80737,471428,0,1,147370
80738,897593,0,0,59215
80739,891385,1,1,133366
80740,766978,1,1,85652
80741,2089,1,1,14174
80742,891245,0,0,94667
80743,804720,0,0,116037
80744,420354,0,0,292
80745,565246,1,0,80133
80746,67974,1,0,80149
80747,46888,1,0,8376
80748,760635,1,1,98861
80749,34667,1,1,18046
80750,817827,1,0,11233
80751,37771,1,1,818
80752,257912,0,0,100209
80753,873630,0,1,45818
80754,467058,1,1,2504
80755,388380,0,1,78172
80756,407066,0,0,93250
80757,515386,1,1,94551
80758,552133,1,0,10253
80759,727532,1,1,111057
80760,284452,1,1,40732
80761,199768,1,1,132856
80762,110876,0,0,44462
80763,9215,1,0,83162
80764,894351,0,0,16614
80765,897949,0,0,133745
80766,779543,1,0,16210
80767,459881,0,0,4947
80768,989918,1,0,43845
80769,107924,1,1,103361
80770,140443,0,0,44066
80771,276181,1,1,91106
80772,92722,1,0,146618
80773,766598,1,0,100657
80774,594677,1,0,8148
80775,740233,1,1,6895
80776,459119,0,1,124949
80777,659725,1,1,52829
80778,261721,0,0,2991
80779,686277,0,1,5135
80780,563274,1,0,93871
80781,851873,0,0,109165
80782,903136,1,1,88302
80783,870158,0,1,100050
80784,144758,1,1,148445
80785,873092,1,1,15517
80786,170757,0,0,138374
80787,56694,1,1,121620
80788,111203,1,1,118264
80789,136328,0,1,11774
80790,684937,0,1,58553
80791,556341,0,1,129373
80792,94271,0,0,72469
80793,187680,0,0,98021
80794,869724,1,1,87439
80795,352474,1,1,369
80796,482248,0,1,48815
80797,684929,1,0,97990
80798,766819,0,1,74761
80799,922876,1,0,1646
80800,739091,1,0,72372
80801,23698,0,1,13105
80802,778904,1,1,37072
80803,153208,0,1,104072
80804,958938,1,0,32849
80805,202195,1,1,42810
80806,860308,1,1,119639
80807,401250,1,0,77783
80808,121583,1,0,124250
80809,68131,0,1,128286
80810,584850,1,0,50151
80811,84215,1,0,95277
80812,826912,0,1,30586
80813,589193,1,0,51249
80814,156873,0,1,135541
80815,944354,0,0,106050
80816,306724,0,0,98108
80817,166447,0,0,115303
80818,682792,1,0,78072
80819,940403,1,0,65407
80820,49359,1,1,46329
80821,248914,0,1,14486
80822,347216,0,1,106870
80823,510148,0,0,124812
80824,338119,1,0,55177
80825,335342,1,1,145061
80826,725690,1,1,142172
80827,589105,1,1,83450
80828,686091,0,1,48682
80829,996389,1,0,124773
80830,209878,0,1,148755
80831,536155,1,1,34927
80832,852617,1,1,22216
80833,431530,0,0,115953
80834,49251,1,1,129124
80835,365776,0,0,98472
80836,115887,0,0,114095
80837,125617,1,0,109303
80838,681681,1,1,50736
80839,524866,1,0,140893
80840,694526,0,0,98030
80841,150960,1,1,93264
80842,698418,0,0,65205
80843,712946,1,1,136218
80844,39601,1,1,60667
80845,339121,1,1,79057
80846,578304,1,0,62891
80847,612759,0,1,60421
80848,107243,0,1,14261
80849,38720,1,0,122564
80850,355541,0,0,46796
80851,549334,0,0,30076
80852,94525,1,0,138871
80853,37107,1,0,99046
80854,607658,1,1,143014
80855,742247,1,1,97937
80856,242986,1,1,6710
80857,923561,0,1,127910
80858,145026,0,0,14873
80859,70094,0,0,3829
80860,93495,0,1,99457
80861,411839,1,1,60187
80862,986459,0,0,9957
80863,728830,1,0,143340
80864,962390,1,0,127213
80865,763525,1,0,97881
80866,178940,1,1,2568
80867,45325,1,0,68394
80868,482059,0,0,59135
80869,687394,0,0,24411
80870,142496,0,0,66466
80871,354476,1,0,109918
80872,416667,0,1,7926
80873,793856,1,1,34782
80874,772843,1,0,110423
80875,548890,0,0,64897
80876,397722,0,1,22830
80877,379948,1,1,78187
80878,305673,1,1,49879
80879,7770,0,1,109205
80880,480528,0,1,122471
80881,521455,1,0,105373
80882,97748,0,0,39065
80883,9745,1,0,15274
80884,143036,1,0,127431
80885,889192,1,0,62497
80886,605056,0,0,24114
80887,927052,0,1,1564
80888,912638,0,0,100262
80889,301767,0,1,145221
80890,304648,1,1,18867
80891,718859,1,1,127174
80892,804469,0,1,132426
80893,383168,0,0,100258
80894,736266,0,0,36772
80895,692432,0,0,34183
80896,231052,1,1,137656
80897,73288,0,0,31991
80898,133808,1,0,140403
80899,399547,1,1,53335
80900,505771,1,0,132484
80901,336128,0,0,120859
80902,154675,0,1,10738
80903,30493,0,1,127383
80904,742674,0,0,58501
80905,768552,1,1,148781
80906,82070,1,0,92722
80907,827416,0,1,67824
80908,562311,1,0,126981
80909,63876,1,0,117278
80910,3223,1,1,128019
80911,546230,1,1,116690
80912,247803,1,0,114821
80913,860294,1,1,140363
80914,612911,1,0,585
80915,353774,0,0,23797
80916,692621,1,0,38589
80917,185182,0,0,3770
80918,857841,1,0,101872
80919,448271,0,1,10725
80920,857670,0,1,81502
80921,613504,0,0,86055
80922,531668,1,1,36198
80923,457939,0,1,147047
80924,173642,1,0,71053
80925,827059,0,1,22102
80926,990870,0,1,71795
80927,416848,1,1,339
80928,437050,1,1,113748
80929,368941,0,1,45372
80930,698117,0,0,49548
80931,794331,1,0,243
80932,684952,0,0,107005
80933,533034,0,0,3753
80934,265315,0,0,149980
80935,751118,0,0,117750
80936,492128,0,0,31945
80937,765870,0,0,77296
80938,429347,1,0,109146
80939,531066,0,0,99017
80940,109018,0,0,28895
80941,994284,0,0,27211
80942,890050,1,0,40670
80943,672717,1,0,55009
80944,644543,1,0,67448
80945,407046,1,1,105602
80946,416166,0,0,690
80947,584082,1,1,25221
80948,486295,1,1,130325
80949,104851,0,1,134005
80950,548881,0,0,90368
80951,943412,1,1,127512
80952,353796,0,0,67620
80953,422079,0,0,82792
80954,18699,0,0,132818
80955,468698,0,0,42011
80956,401502,0,1,89679
80957,742866,1,0,79855
80958,351376,0,0,63326
80959,667278,1,0,127330
80960,226883,1,0,23995
80961,175264,0,0,124084
80962,666043,0,0,9153
80963,575211,1,0,141603
80964,7454,1,0,28753
80965,172731,0,1,90054
80966,286106,1,0,117460
80967,29539,0,0,23100
80968,604462,1,0,5038
80969,751865,1,0,65680
80970,372826,0,1,135083
80971,81853,1,1,146475
80972,698312,0,1,115120
80973,531624,1,0,29402
80974,932228,0,0,124399
80975,581090,1,1,2032
80976,463349,1,0,99649
80977,788046,0,0,43921
80978,308384,0,0,92232
80979,154992,1,1,3040
80980,99166,1,1,141096
80981,548686,1,0,107096
80982,783179,0,1,56696
80983,680206,1,0,70798
80984,31436,0,0,37937
80985,347577,0,1,85804
80986,757072,1,0,76994
80987,876764,1,1,56435
80988,495439,0,1,27899
80989,965572,0,1,21757
80990,436862,1,0,25635
80991,961012,1,1,155
80992,886929,0,1,29727
80993,66200,0,0,2671
80994,338816,1,0,84109
80995,711622,0,1,50380
80996,397366,1,0,92
80997,782155,1,0,84562
80998,976622,1,0,4473
80999,162679,1,0,49763
81000,37127,0,1,89663
81001,982206,1,0,105352
81002,152983,0,0,21921
81003,4812,1,0,62718
81004,905115,1,1,78930
81005,750079,1,1,56112
81006,694506,0,1,11528
81007,24056,0,1,102860
81008,546549,1,0,145822
81009,50346,1,0,148073
81010,631196,0,0,144558
81011,391800,1,0,17948
81012,222513,0,0,116995
81013,22477,0,1,24279
81014,696190,0,0,86702
81015,648386,0,0,121473
81016,598321,1,1,139719
81017,770893,1,1,51724
81018,984363,0,1,66815
81019,520133,1,1,99903
81020,735231,1,0,139680
81021,210212,1,1,145570
81022,420345,0,0,59820
81023,273671,1,0,97147
81024,595342,1,0,122884
81025,820038,0,1,91907
81026,305431,0,1,119999
81027,588475,1,0,132025
81028,583181,1,1,94287
81029,875997,0,1,128370
81030,416640,0,0,87043
81031,438314,0,0,91480
81032,254265,1,1,35551
81033,207843,0,1,148629
81034,727437,1,1,78234
81035,869993,0,1,86124
81036,100162,0,1,106179
81037,27883,1,1,53367
81038,784446,1,0,43245
81039,594818,1,0,80631
81040,153365,0,0,103912
81041,796181,1,1,142983
81042,714433,0,0,43806
81043,572161,1,1,49070
81044,973620,1,0,79533
81045,22310,1,0,127225
81046,923396,0,1,99688
81047,231784,1,1,23145
81048,860321,1,0,29148
81049,236276,0,1,143963
81050,873713,0,0,134989
81051,735005,0,1,23328
81052,306776,1,0,893
81053,193409,0,1,78181
81054,797879,1,0,90519
81055,210157,0,1,126822
81056,281332,0,0,140715
81057,439715,0,0,10267
81058,131812,1,0,2368
81059,397573,0,1,17175
81060,231973,1,1,83692
81061,619535,1,1,102837
81062,350437,0,1,95667
81063,624030,0,1,49545
81064,837098,1,1,140125
81065,621953,0,1,110625
81066,993736,0,1,99589
81067,924359,0,0,29991
81068,849109,0,1,140924
81069,335418,1,1,81851
81070,252935,1,0,144587
81071,204306,0,0,52050
81072,795434,0,1,105789
